Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2018-01-01T18:30:00.000Z,103.72,104.53,101.25,102.35,-1.29,-1.63,"27,12,044"
2018-01-02T18:30:00.000Z,102.35,112.56,102.35,110.03,7.5,7.17,"2,12,68,697"
2018-01-03T18:30:00.000Z,109.9,115.65,108.75,114.46,4.03,3.69,"1,24,11,875"
2018-01-04T18:30:00.000Z,115.4,121.33,113.9,120.61,5.37,5.04,"1,15,21,764"
2018-01-07T18:30:00.000Z,120.27,125.51,120.08,122.67,1.71,1.37,"82,53,904"
2018-01-08T18:30:00.000Z,123.64,124.23,121.21,122.33,-0.28,-0.61,"47,15,461"
2018-01-09T18:30:00.000Z,122.45,127.29,122.39,124.14,1.48,1.15,"1,16,67,268"
2018-01-10T18:30:00.000Z,123.64,127.2,122.11,125.95,1.46,1.12,"55,79,135"
2018-01-11T18:30:00.000Z,126.14,127.23,121.3,124.86,-0.87,-1.2,"52,18,945"
2018-01-14T18:30:00.000Z,125.51,126.26,123.2,123.77,-0.87,-1.21,"29,71,871"
2018-01-15T18:30:00.000Z,124.08,124.33,117.52,121.52,-1.82,-2.15,"73,31,265"
2018-01-16T18:30:00.000Z,121.27,128.45,117.33,127.73,5.11,4.78,"94,72,531"
2018-01-17T18:30:00.000Z,128.64,129.57,117.83,121.92,-4.55,-4.88,"1,32,42,809"
2018-01-18T18:30:00.000Z,121.92,125.51,117.74,124.7,2.28,1.95,"1,40,32,888"
2018-01-21T18:30:00.000Z,123.64,126.36,122.39,124.2,-0.4,-0.73,"57,40,115"
2018-01-22T18:30:00.000Z,124.51,128.17,122.45,127.64,2.77,2.44,"75,61,852"
2018-01-23T18:30:00.000Z,127.57,129.6,124.89,128.32,0.53,0.2,"78,05,766"
2018-01-24T18:30:00.000Z,128.01,134.72,126.01,133.88,4.33,4,"1,32,33,590"
2018-01-28T18:30:00.000Z,134.63,137.69,131.51,133.23,-0.49,-0.82,"79,73,287"
2018-01-29T18:30:00.000Z,131.76,133.35,129.57,131.95,-0.96,-1.29,"42,90,228"
2018-01-30T18:30:00.000Z,131.1,136.6,130.6,133.13,0.89,0.56,"77,32,419"
2018-01-31T18:30:00.000Z,133.01,135.54,127.2,133.63,0.38,0.04,"49,05,671"
2018-02-01T18:30:00.000Z,133.01,133.01,121.83,123.14,-7.85,-8.18,"69,46,208"
2018-02-04T18:30:00.000Z,115.59,125.51,114.71,124.55,1.15,0.81,"64,43,758"
2018-02-05T18:30:00.000Z,115.52,123.77,114.09,121.95,-2.09,-2.42,"59,20,376"
2018-02-06T18:30:00.000Z,124.61,126.61,121.83,122.86,0.75,0.41,"39,82,586"
2018-02-07T18:30:00.000Z,123.8,128.73,122.95,127.7,3.94,3.61,"44,39,467"
2018-02-08T18:30:00.000Z,124.89,132.29,123.42,131.2,2.74,2.41,"60,60,617"
2018-02-11T18:30:00.000Z,131.88,136.94,131.88,135.66,3.4,3.07,"72,69,216"
2018-02-13T18:30:00.000Z,136.44,139.56,135.35,137.03,1.01,0.68,"69,15,464"
2018-02-14T18:30:00.000Z,138.07,139.03,131.54,134.1,-2.14,-2.47,"49,74,761"
2018-02-15T18:30:00.000Z,134.76,136.41,127.89,129.76,-3.24,-3.57,"54,58,989"
2018-02-18T18:30:00.000Z,128.01,129.54,125.2,126.7,-2.36,-2.69,"48,69,612"
2018-02-19T18:30:00.000Z,126.14,127.11,121.77,123.64,-2.42,-2.75,"63,26,486"
2018-02-20T18:30:00.000Z,124.45,125.2,121.95,123.27,-0.3,-0.63,"41,52,954"
2018-02-21T18:30:00.000Z,122.39,127.67,121.02,126.95,2.99,2.65,"89,57,045"
2018-02-22T18:30:00.000Z,127.7,128.48,125.83,127.61,0.52,0.19,"50,07,111"
2018-02-25T18:30:00.000Z,128.01,129.79,127.08,128.39,0.61,0.28,"29,16,864"
2018-02-26T18:30:00.000Z,128.64,131.04,125.64,129.29,0.7,0.37,"59,90,667"
2018-02-27T18:30:00.000Z,127.98,129.85,126.45,127.11,-1.69,-2.02,"38,76,913"
2018-02-28T18:30:00.000Z,127.11,129.07,123.77,124.36,-2.16,-2.5,"36,00,007"
2018-03-04T18:30:00.000Z,124.27,126.58,122.86,125.45,0.88,0.54,"38,91,702"
2018-03-05T18:30:00.000Z,126.45,126.98,112.46,116.27,-7.32,-7.65,"80,63,223"
2018-03-06T18:30:00.000Z,114.21,115.8,105.66,107.53,-7.52,-7.85,"2,17,42,279"
2018-03-07T18:30:00.000Z,108.65,110.78,99.91,105.5,-1.89,-2.22,"1,93,71,103"
2018-03-08T18:30:00.000Z,105.5,106.47,96.57,97.48,-7.6,-7.94,"1,70,88,755"
2018-03-11T18:30:00.000Z,98.94,102.66,93.67,101.32,3.94,3.61,"2,00,88,994"
2018-03-12T18:30:00.000Z,101.19,102.72,98.04,99.76,-1.54,-1.87,"1,51,60,439"
2018-03-13T18:30:00.000Z,97.91,103.16,97.76,102.25,2.5,2.16,"1,33,34,956"
2018-03-14T18:30:00.000Z,102.1,106.44,101.91,104.31,2.01,1.68,"1,31,95,532"
2018-03-15T18:30:00.000Z,104.59,105.19,99.38,100.22,-3.92,-4.25,"1,24,05,008"
2018-03-18T18:30:00.000Z,99.91,101.16,96.57,100.29,0.07,-0.26,"1,16,57,832"
2018-03-19T18:30:00.000Z,99.26,102.03,98.85,100.5,0.21,-0.12,"93,95,255"
2018-03-20T18:30:00.000Z,101,103.75,100.63,101.29,0.79,0.45,"77,48,642"
2018-03-21T18:30:00.000Z,101.41,102.32,99.01,99.57,-1.7,-2.03,"61,71,698"
2018-03-22T18:30:00.000Z,96.79,97.54,92.86,95.2,-4.39,-4.72,"99,36,873"
2018-03-25T18:30:00.000Z,95.23,103.81,94.14,102.25,7.41,7.07,"1,24,79,612"
2018-03-26T18:30:00.000Z,103.6,104.72,99.04,99.85,-2.35,-2.68,"1,20,16,092"
2018-03-27T18:30:00.000Z,99.22,101.1,96.6,97.66,-2.19,-2.53,"1,16,99,148"
2018-04-01T18:30:00.000Z,98.23,101.44,94.42,100.47,2.88,2.54,"99,92,345"
2018-04-02T18:30:00.000Z,98.82,101.97,97.76,101.41,0.94,0.6,"1,14,97,486"
2018-04-03T18:30:00.000Z,101.44,103.91,91.86,94.57,-6.74,-7.08,"3,33,52,404"
2018-04-04T18:30:00.000Z,94.57,108.76,89.77,105.13,11.17,10.83,"2,74,97,507"
2018-04-05T18:30:00.000Z,105.42,109.97,105.03,106.48,1.28,0.95,"1,06,23,849"
2018-04-08T18:30:00.000Z,106.8,108.08,103.57,104.63,-1.74,-2.07,"51,48,636"
2018-04-09T18:30:00.000Z,105.59,107.34,104.31,105.06,0.41,0.08,"49,48,074"
2018-04-10T18:30:00.000Z,105.27,105.77,101.4,102.79,-2.16,-2.49,"51,28,577"
2018-04-11T18:30:00.000Z,102.82,104.03,95.75,96.78,-5.85,-6.18,"77,68,352"
2018-04-12T18:30:00.000Z,99.83,101.68,97.84,99.12,2.42,2.08,"1,19,86,798"
2018-04-15T18:30:00.000Z,98.63,100.9,97.42,100.08,0.97,0.63,"50,77,236"
2018-04-16T18:30:00.000Z,100.58,101.65,97.99,99.19,-0.89,-1.22,"35,26,569"
2018-04-17T18:30:00.000Z,100.26,100.26,96.49,97.24,-1.97,-2.3,"32,97,720"
2018-04-18T18:30:00.000Z,96.35,101.19,95.99,100.72,3.58,3.25,"64,07,262"
2018-04-19T18:30:00.000Z,100.26,100.26,96.71,97.91,-2.79,-3.12,"39,28,069"
2018-04-22T18:30:00.000Z,98.84,100.97,97.84,99.37,1.49,1.16,"44,66,205"
2018-04-23T18:30:00.000Z,99.94,100.47,97.31,98.06,-1.32,-1.65,"36,19,659"
2018-04-24T18:30:00.000Z,98.13,99.19,97.17,97.81,-0.25,-0.59,"27,44,549"
