Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2018-01-01T18:30:00.000Z,403.45,403.45,395,397.4,-0.56,-0.64,"13,22,980"
2018-01-02T18:30:00.000Z,398.1,410.9,397.45,407.65,2.58,2.51,"46,79,468"
2018-01-03T18:30:00.000Z,408.7,410.7,406.05,409.85,0.54,0.47,"19,90,506"
2018-01-04T18:30:00.000Z,411.9,426.95,410.2,423.8,3.4,3.33,"54,48,214"
2018-01-07T18:30:00.000Z,424,427.5,421.1,422.9,-0.21,-0.29,"34,47,843"
2018-01-08T18:30:00.000Z,422.9,425.55,419.2,421.1,-0.43,-0.5,"25,09,904"
2018-01-09T18:30:00.000Z,422,427.9,418.75,423.45,0.56,0.48,"42,53,925"
2018-01-10T18:30:00.000Z,423,430.65,421,425.5,0.48,0.41,"44,15,343"
2018-01-11T18:30:00.000Z,425.85,428.35,411.55,423.3,-0.52,-0.59,"25,81,486"
2018-01-14T18:30:00.000Z,425.55,427.9,419.5,420.6,-0.64,-0.71,"15,99,208"
2018-01-15T18:30:00.000Z,421.5,428.25,418.45,423.55,0.7,0.63,"23,18,100"
2018-01-16T18:30:00.000Z,424.25,436,422.75,433.4,2.33,2.25,"67,15,953"
2018-01-17T18:30:00.000Z,437.95,438.15,409.35,416.25,-3.96,-4.03,"87,94,103"
2018-01-18T18:30:00.000Z,418.8,435.45,418.8,433.45,4.13,4.06,"75,88,904"
2018-01-21T18:30:00.000Z,434,443.35,432.55,438.05,1.06,0.99,"70,92,514"
2018-01-22T18:30:00.000Z,438.05,442,433,438.4,0.08,0.01,"46,59,591"
2018-01-23T18:30:00.000Z,437,452.35,429.1,448.75,2.36,2.29,"52,01,505"
2018-01-24T18:30:00.000Z,450,450,434.8,436.5,-2.73,-2.8,"67,92,843"
2018-01-28T18:30:00.000Z,436.5,442.35,432,436.65,0.03,-0.04,"21,26,497"
2018-01-29T18:30:00.000Z,435,436.15,426.8,428.25,-1.92,-2,"23,89,618"
2018-01-30T18:30:00.000Z,428,435.5,424.5,428.85,0.14,0.07,"27,34,628"
2018-01-31T18:30:00.000Z,431,433,414.45,428.75,-0.02,-0.1,"16,81,704"
2018-02-01T18:30:00.000Z,424.5,426.2,412,417.95,-2.52,-2.59,"42,65,914"
2018-02-04T18:30:00.000Z,408,413,406.3,408.2,-2.33,-2.41,"29,36,554"
2018-02-05T18:30:00.000Z,395,410.35,387,404.8,-0.83,-0.91,"29,63,450"
2018-02-06T18:30:00.000Z,414.4,414.4,404.15,407,0.54,0.47,"25,92,845"
2018-02-07T18:30:00.000Z,408.25,416.15,401.1,405.1,-0.47,-0.54,"29,52,821"
2018-02-08T18:30:00.000Z,400,401.6,394,399,-1.51,-1.58,"29,36,187"
2018-02-11T18:30:00.000Z,403.75,406.15,400,403.35,1.09,1.02,"12,49,277"
2018-02-13T18:30:00.000Z,405,416.8,405,413,2.39,2.32,"30,01,847"
2018-02-14T18:30:00.000Z,421.5,424,409.55,411.7,-0.31,-0.39,"32,93,138"
2018-02-15T18:30:00.000Z,414,415.6,402.35,405.45,-1.52,-1.59,"17,40,283"
2018-02-18T18:30:00.000Z,407.5,407.5,388.65,393.85,-2.86,-2.93,"21,40,756"
2018-02-19T18:30:00.000Z,394,398,387.2,394.9,0.27,0.19,"20,45,167"
2018-02-20T18:30:00.000Z,396.5,398.75,389.75,395.6,0.18,0.1,"18,00,533"
2018-02-21T18:30:00.000Z,395,406.2,392.75,404,2.12,2.05,"47,26,021"
2018-02-22T18:30:00.000Z,405.1,409.25,402,406.5,0.62,0.55,"19,53,157"
2018-02-25T18:30:00.000Z,407.5,417,407.5,415.05,2.1,2.03,"22,99,169"
2018-02-26T18:30:00.000Z,417,417,409.65,410.45,-1.11,-1.18,"13,34,518"
2018-02-27T18:30:00.000Z,410,412.35,403.1,408.35,-0.51,-0.59,"28,23,115"
2018-02-28T18:30:00.000Z,408.35,413.75,405,406.1,-0.55,-0.62,"12,16,685"
2018-03-04T18:30:00.000Z,404.95,411.45,400.1,403.95,-0.53,-0.6,"36,65,892"
2018-03-05T18:30:00.000Z,406.7,413.75,395.15,405.25,0.32,0.25,"33,21,338"
2018-03-06T18:30:00.000Z,398.95,398.95,372.25,376.95,-6.98,-7.06,"69,51,930"
2018-03-07T18:30:00.000Z,379,393,369.7,387.95,2.92,2.84,"1,10,40,375"
2018-03-08T18:30:00.000Z,392,393.65,373.8,377.9,-2.59,-2.66,"53,52,078"
2018-03-11T18:30:00.000Z,382,389.2,377,386.6,2.3,2.23,"36,93,431"
2018-03-12T18:30:00.000Z,387,391.4,381.15,385.2,-0.36,-0.44,"21,75,696"
2018-03-13T18:30:00.000Z,383.1,384.75,376.85,382.1,-0.8,-0.88,"36,16,289"
2018-03-14T18:30:00.000Z,383.6,386.4,380.3,382.15,0.01,-0.06,"18,18,766"
2018-03-15T18:30:00.000Z,377.9,382.25,367.45,370.5,-3.05,-3.12,"49,72,566"
2018-03-18T18:30:00.000Z,370,371.5,355.25,364.3,-1.67,-1.75,"52,53,759"
2018-03-19T18:30:00.000Z,364.3,371.8,360.15,370,1.56,1.49,"17,80,257"
2018-03-20T18:30:00.000Z,372.9,373.75,362.3,363.7,-1.7,-1.78,"22,96,120"
2018-03-21T18:30:00.000Z,365,365,354.1,358.25,-1.5,-1.57,"34,43,184"
2018-03-22T18:30:00.000Z,355,367,350.45,362.4,1.16,1.08,"45,18,979"
2018-03-25T18:30:00.000Z,364.4,368.7,351.5,365.15,0.76,0.69,"38,84,338"
2018-03-26T18:30:00.000Z,368.15,369.4,361.9,365.5,0.1,0.02,"26,31,162"
2018-03-27T18:30:00.000Z,364.5,364.5,351.05,354.1,-3.12,-3.19,"47,66,456"
2018-04-01T18:30:00.000Z,356,371.9,356,369.7,4.41,4.33,"29,78,988"
2018-04-02T18:30:00.000Z,368.5,371,362.7,366.4,-0.89,-0.97,"26,79,172"
2018-04-03T18:30:00.000Z,368,373.7,363.75,367.8,0.38,0.31,"56,11,445"
2018-04-04T18:30:00.000Z,372,379.8,371.5,375.95,2.22,2.14,"36,48,555"
2018-04-05T18:30:00.000Z,378.45,383.6,374.65,379.3,0.89,0.82,"20,37,081"
2018-04-08T18:30:00.000Z,380.65,382.8,376.35,377.35,-0.51,-0.59,"15,71,745"
2018-04-09T18:30:00.000Z,379,390.5,378.6,387.25,2.62,2.55,"34,93,681"
2018-04-10T18:30:00.000Z,388,388.15,375.5,377.9,-2.41,-2.49,"20,45,552"
2018-04-11T18:30:00.000Z,378,378.75,369.25,372.35,-1.47,-1.54,"36,09,657"
2018-04-12T18:30:00.000Z,375.8,386.9,372.35,383.1,2.89,2.81,"64,85,732"
2018-04-15T18:30:00.000Z,381.75,389,379.25,387.5,1.15,1.08,"26,82,231"
2018-04-16T18:30:00.000Z,391.5,393.95,382,383.4,-1.06,-1.13,"37,70,554"
2018-04-17T18:30:00.000Z,385.25,387.7,380.2,384.95,0.4,0.33,"25,68,988"
2018-04-18T18:30:00.000Z,387.3,390.7,383.45,386.55,0.42,0.34,"28,48,405"
2018-04-19T18:30:00.000Z,386,387.25,378.95,381.15,-1.4,-1.47,"21,78,241"
2018-04-22T18:30:00.000Z,381.45,389.55,375.55,386.35,1.36,1.29,"36,14,484"
2018-04-23T18:30:00.000Z,387.25,394.5,387.1,392.25,1.53,1.45,"30,93,161"
2018-04-24T18:30:00.000Z,394,397.45,390.2,391.9,-0.09,-0.16,"32,05,946"
2018-04-25T18:30:00.000Z,388.65,398.5,388.1,397.1,1.33,1.25,"36,63,748"
2018-04-26T18:30:00.000Z,398.3,405.9,398.3,402.45,1.35,1.27,"82,10,865"
2018-04-29T18:30:00.000Z,405.8,411.3,402.4,407.3,1.21,1.13,"22,64,144"
2018-05-01T18:30:00.000Z,408,411.2,397.3,401.1,-1.52,-1.6,"30,47,308"
2018-05-02T18:30:00.000Z,399.7,406.3,393.55,397,-1.02,-1.1,"31,61,687"
2018-05-03T18:30:00.000Z,401.95,409.6,391.3,408.25,2.83,2.76,"47,82,981"
2018-05-06T18:30:00.000Z,410,414.3,405.95,412.4,1.02,0.94,"25,82,072"
2018-05-07T18:30:00.000Z,413.1,415.65,410.1,412.8,0.1,0.02,"19,45,992"
2018-05-08T18:30:00.000Z,412.1,415.3,409.6,413.35,0.13,0.06,"14,08,466"
2018-05-09T18:30:00.000Z,413.85,414.4,409.1,410.8,-0.62,-0.69,"15,52,936"
2018-05-10T18:30:00.000Z,412.35,414.5,410.85,412.7,0.46,0.39,"14,42,596"
2018-05-13T18:30:00.000Z,413.95,414,407.4,409.95,-0.67,-0.74,"55,17,825"
2018-05-14T18:30:00.000Z,399,412,397.4,409.15,-0.2,-0.27,"30,89,340"
2018-05-15T18:30:00.000Z,407.75,409.75,400.25,403.1,-1.48,-1.55,"18,97,907"
2018-05-16T18:30:00.000Z,404,405.5,395.6,397.9,-1.29,-1.36,"16,14,257"
2018-05-17T18:30:00.000Z,396.15,397.1,384.05,389.5,-2.11,-2.18,"38,95,361"
2018-05-20T18:30:00.000Z,389.35,392.55,381.5,383.7,-1.49,-1.56,"15,44,488"
2018-05-21T18:30:00.000Z,382.7,389.05,377.75,379.75,-1.03,-1.1,"18,61,819"
2018-05-22T18:30:00.000Z,379.8,383.1,373.5,374.25,-1.45,-1.52,"15,60,605"
2018-05-23T18:30:00.000Z,374.95,378.6,364.7,371.25,-0.8,-0.88,"32,99,522"
2018-05-24T18:30:00.000Z,371.5,382,366.5,379.9,2.33,2.26,"23,72,618"
2018-05-27T18:30:00.000Z,382.5,383.45,376.2,378.9,-0.26,-0.34,"18,07,896"
2018-05-28T18:30:00.000Z,379.8,383.85,373.2,377.85,-0.28,-0.35,"33,94,813"
2018-05-29T18:30:00.000Z,374,378.95,370,374.4,-0.91,-0.99,"31,10,433"
2018-05-30T18:30:00.000Z,375.5,397.6,369.25,392.15,4.74,4.67,"1,11,33,305"
2018-05-31T18:30:00.000Z,394.1,395.4,382.3,387.6,-1.16,-1.23,"32,19,572"
2018-06-03T18:30:00.000Z,388,388.95,376.05,378.55,-2.33,-2.41,"24,81,566"
2018-06-04T18:30:00.000Z,378.75,379.35,371.5,373.6,-1.31,-1.38,"27,67,220"
2018-06-05T18:30:00.000Z,374,377.5,373.35,375.8,0.59,0.52,"39,27,114"
2018-06-06T18:30:00.000Z,378,384.8,376.55,380.05,1.13,1.06,"17,70,108"
2018-06-07T18:30:00.000Z,381,382.75,375.1,380.5,0.12,0.04,"12,32,441"
2018-06-10T18:30:00.000Z,384,387.7,380.1,382.3,0.47,0.4,"20,30,226"
2018-06-11T18:30:00.000Z,384,390.75,382.35,388.9,1.73,1.65,"19,20,763"
2018-06-12T18:30:00.000Z,391.15,392,381.6,382.85,-1.56,-1.63,"25,29,140"
2018-06-13T18:30:00.000Z,383.65,383.65,372.05,374.45,-2.19,-2.27,"23,98,168"
2018-06-14T18:30:00.000Z,369.8,375.9,369.8,372.95,-0.4,-0.47,"72,78,768"
2018-06-17T18:30:00.000Z,373,375.75,369.2,370.55,-0.64,-0.72,"9,66,982"
2018-06-18T18:30:00.000Z,369.55,371.7,361.4,362.45,-2.19,-2.26,"30,37,612"
2018-06-19T18:30:00.000Z,363,366.75,357.2,365.65,0.88,0.81,"41,12,085"
2018-06-20T18:30:00.000Z,369,374.8,365.95,366.9,0.34,0.27,"48,44,094"
2018-06-21T18:30:00.000Z,364.9,367.35,361.2,365.8,-0.3,-0.37,"29,82,451"
2018-06-24T18:30:00.000Z,366,367.75,359.05,361.15,-1.27,-1.34,"17,16,838"
2018-06-25T18:30:00.000Z,361,366.55,356.4,362.9,0.48,0.41,"19,97,309"
2018-06-26T18:30:00.000Z,362,365.05,355.15,361.1,-0.5,-0.57,"31,86,106"
2018-06-27T18:30:00.000Z,359.7,364.45,358.15,361.8,0.19,0.12,"96,27,099"
2018-06-28T18:30:00.000Z,364.45,377.4,359.05,373.15,3.14,3.06,"32,41,005"
2018-07-01T18:30:00.000Z,371,373.9,359.15,362.8,-2.77,-2.85,"17,32,427"
2018-07-02T18:30:00.000Z,362.5,365.45,360.25,362.75,-0.01,-0.09,"14,88,048"
2018-07-03T18:30:00.000Z,362.95,363.5,355.95,359.95,-0.77,-0.85,"16,16,705"
2018-07-04T18:30:00.000Z,361.35,363.4,355.6,361.9,0.54,0.47,"15,26,982"
2018-07-05T18:30:00.000Z,361.9,370.9,358.35,365.75,1.06,0.99,"15,49,142"
2018-07-08T18:30:00.000Z,367,369.9,365.6,366.95,0.33,0.25,"10,50,376"
2018-07-09T18:30:00.000Z,367.55,375.3,367.55,370.45,0.95,0.88,"16,56,692"
2018-07-10T18:30:00.000Z,369.9,378.3,368,373.5,0.82,0.75,"24,80,112"
2018-07-11T18:30:00.000Z,374.4,375.7,368.6,369.35,-1.11,-1.18,"14,58,875"
2018-07-12T18:30:00.000Z,374,377.3,367.5,370.4,0.28,0.21,"30,06,407"
2018-07-15T18:30:00.000Z,370.5,372.3,358.5,360.05,-2.79,-2.87,"13,40,324"
2018-07-16T18:30:00.000Z,361.1,369.2,360.8,366.7,1.85,1.77,"17,75,116"
2018-07-17T18:30:00.000Z,365.85,375.4,361.75,364.05,-0.72,-0.8,"20,65,237"
2018-07-18T18:30:00.000Z,366.4,371,364.1,369.6,1.52,1.45,"15,37,925"
2018-07-19T18:30:00.000Z,369.6,376.9,366.9,370.05,0.12,0.05,"18,86,770"
2018-07-22T18:30:00.000Z,370.2,385,370,383.75,3.7,3.63,"25,17,823"
2018-07-23T18:30:00.000Z,385.4,394.3,382.75,392.6,2.31,2.23,"39,37,762"
2018-07-24T18:30:00.000Z,392.5,401.45,391.2,398.75,1.57,1.49,"43,08,866"
2018-07-25T18:30:00.000Z,395.8,402,394.7,399.3,0.14,0.06,"23,88,169"
2018-07-26T18:30:00.000Z,402.45,402.45,391.15,394.65,-1.16,-1.24,"29,66,414"
