Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2018-01-01T18:30:00.000Z,42.9,44.25,41.4,43.35,1.76,1.49,"2,58,49,963"
2018-01-02T18:30:00.000Z,43.7,45,43.6,44.25,2.08,1.8,"3,61,09,485"
2018-01-03T18:30:00.000Z,44.6,44.8,43.75,44.25,0,-0.27,"2,72,94,014"
2018-01-04T18:30:00.000Z,44.2,47.25,44.2,46.4,4.86,4.59,"4,76,63,047"
2018-01-07T18:30:00.000Z,47.05,47.8,46.5,46.95,1.19,0.91,"1,45,97,285"
2018-01-08T18:30:00.000Z,47.25,47.25,45.05,46.1,-1.81,-2.08,"1,88,05,004"
2018-01-09T18:30:00.000Z,46.55,47.4,45.6,46.3,0.43,0.16,"1,64,15,241"
2018-01-10T18:30:00.000Z,46,46.8,45.55,46.1,-0.43,-0.71,"1,06,93,105"
2018-01-11T18:30:00.000Z,46.25,46.6,43.25,44.75,-2.93,-3.2,"1,65,28,799"
2018-01-14T18:30:00.000Z,44.9,45.35,43.9,44.2,-1.23,-1.5,"1,04,31,743"
2018-01-15T18:30:00.000Z,44.5,44.65,41.6,42.25,-4.41,-4.69,"1,02,40,202"
2018-01-16T18:30:00.000Z,42.2,42.2,39.75,40.75,-3.55,-3.82,"2,81,85,993"
2018-01-17T18:30:00.000Z,40.95,41,36.25,36.95,-9.33,-9.6,"4,33,09,803"
2018-01-18T18:30:00.000Z,36.7,38.25,36.05,38.05,2.98,2.7,"1,59,08,701"
2018-01-21T18:30:00.000Z,38.1,38.3,36.6,37.6,-1.18,-1.46,"2,17,12,302"
2018-01-22T18:30:00.000Z,37.3,38.8,37.3,38.25,1.73,1.46,"2,70,45,728"
2018-01-23T18:30:00.000Z,37.95,38.2,37.15,37.5,-1.96,-2.23,"2,03,21,364"
2018-01-24T18:30:00.000Z,37.5,38.75,36.65,38.2,1.87,1.59,"2,52,36,607"
2018-01-28T18:30:00.000Z,38.2,38.2,36.8,37,-3.14,-3.41,"75,20,511"
2018-01-29T18:30:00.000Z,36.8,38.2,36,37.45,1.22,0.94,"1,93,87,251"
2018-01-30T18:30:00.000Z,37.05,38.25,36.1,36.65,-2.14,-2.41,"1,09,59,615"
2018-01-31T18:30:00.000Z,36.7,37.25,34.7,36.75,0.27,0,"1,09,04,549"
2018-02-01T18:30:00.000Z,36,36.35,31.95,32.7,-11.02,-11.29,"1,74,33,690"
2018-02-04T18:30:00.000Z,31.95,33.45,30.15,32.7,0,-0.27,"1,53,84,812"
2018-02-05T18:30:00.000Z,31,32.2,29.45,31.6,-3.36,-3.64,"1,53,47,398"
2018-02-06T18:30:00.000Z,32.8,32.8,31.6,32,1.27,0.99,"1,14,68,909"
2018-02-07T18:30:00.000Z,32.5,33.4,32.15,32.8,2.5,2.23,"93,92,734"
2018-02-08T18:30:00.000Z,32,34.6,31.5,33.8,3.05,2.78,"1,38,39,094"
2018-02-11T18:30:00.000Z,34,34.45,33.3,34,0.59,0.32,"87,26,014"
2018-02-13T18:30:00.000Z,34.7,34.7,33.15,33.35,-1.91,-2.19,"93,07,687"
2018-02-14T18:30:00.000Z,33.8,33.85,32.5,33.1,-0.75,-1.02,"59,12,780"
2018-02-15T18:30:00.000Z,33.5,33.5,32,32.35,-2.27,-2.54,"69,06,543"
2018-02-18T18:30:00.000Z,32.1,32.55,30.75,31.4,-2.94,-3.21,"98,38,366"
2018-02-19T18:30:00.000Z,31.25,31.7,30.9,31.35,-0.16,-0.43,"65,51,504"
2018-02-20T18:30:00.000Z,31.5,31.65,30.9,31.35,0,-0.27,"60,96,399"
2018-02-21T18:30:00.000Z,31.1,32,30.85,31.05,-0.96,-1.23,"1,25,16,530"
2018-02-22T18:30:00.000Z,31.25,32.35,31.15,32.15,3.54,3.27,"74,17,257"
2018-02-25T18:30:00.000Z,32.25,33.1,31.65,32.75,1.87,1.59,"80,42,171"
2018-02-26T18:30:00.000Z,32.8,32.95,31.5,32.05,-2.14,-2.41,"71,06,014"
2018-02-27T18:30:00.000Z,31.6,32.05,31.35,31.65,-1.25,-1.52,"56,83,910"
2018-02-28T18:30:00.000Z,31.6,31.95,31.25,31.35,-0.95,-1.22,"51,09,574"
2018-03-04T18:30:00.000Z,31.35,31.65,30.15,30.85,-1.59,-1.87,"66,71,043"
2018-03-05T18:30:00.000Z,30.9,31.45,28.75,29.5,-4.38,-4.65,"79,22,751"
2018-03-06T18:30:00.000Z,29,29.25,27.05,27.4,-7.12,-7.39,"1,55,97,411"
2018-03-07T18:30:00.000Z,27.15,27.45,25.15,26.1,-4.74,-5.02,"2,71,79,786"
2018-03-08T18:30:00.000Z,26.1,26.3,25.05,25.45,-2.49,-2.76,"1,55,13,863"
2018-03-11T18:30:00.000Z,25.6,26.5,25.4,26.35,3.54,3.26,"99,79,106"
2018-03-12T18:30:00.000Z,26.15,27.2,25.8,26.7,1.33,1.05,"1,11,66,266"
2018-03-13T18:30:00.000Z,26.4,27.55,26.2,27.3,2.25,1.97,"1,07,92,061"
2018-03-14T18:30:00.000Z,27.1,28.75,27.1,28.1,2.93,2.66,"1,49,66,688"
2018-03-15T18:30:00.000Z,28.3,28.9,27.05,27.3,-2.85,-3.12,"1,44,19,571"
2018-03-18T18:30:00.000Z,27.4,27.7,26,26.1,-4.4,-4.67,"1,37,20,511"
2018-03-19T18:30:00.000Z,25.6,26.3,25.5,25.8,-1.15,-1.42,"1,11,60,757"
2018-03-20T18:30:00.000Z,26,26.45,25.5,25.65,-0.58,-0.85,"75,78,090"
2018-03-21T18:30:00.000Z,25.85,26.05,25,25.15,-1.95,-2.22,"74,10,150"
2018-03-22T18:30:00.000Z,24.4,24.5,23.65,24.1,-4.17,-4.45,"1,20,30,957"
2018-03-25T18:30:00.000Z,24.15,24.4,23.1,24.05,-0.21,-0.48,"1,27,67,918"
2018-03-26T18:30:00.000Z,24.45,25.35,24.25,25.2,4.78,4.51,"1,19,40,363"
2018-03-27T18:30:00.000Z,24.95,24.95,23.55,23.7,-5.95,-6.23,"2,33,17,191"
2018-04-01T18:30:00.000Z,24.5,24.7,23.6,24.45,3.16,2.89,"1,30,84,386"
2018-04-02T18:30:00.000Z,24.2,25.2,23.7,25.1,2.66,2.38,"1,73,05,908"
2018-04-03T18:30:00.000Z,25.05,26.35,24.75,25.05,-0.2,-0.47,"2,64,72,761"
2018-04-04T18:30:00.000Z,25.6,25.85,25.25,25.5,1.8,1.52,"1,45,16,075"
2018-04-05T18:30:00.000Z,25.6,26,25.3,25.65,0.59,0.31,"1,45,99,472"
2018-04-08T18:30:00.000Z,25.75,26,25.35,25.65,0,-0.27,"1,06,11,953"
2018-04-09T18:30:00.000Z,25.7,26.85,25.55,26.4,2.92,2.65,"2,44,60,341"
2018-04-10T18:30:00.000Z,26.7,26.9,26,26.6,0.76,0.48,"1,40,22,327"
2018-04-11T18:30:00.000Z,26.5,26.5,25.25,25.7,-3.38,-3.66,"2,55,10,107"
2018-04-12T18:30:00.000Z,25.9,26.3,25.45,25.75,0.19,-0.08,"2,03,20,904"
2018-04-15T18:30:00.000Z,25.55,26,25.1,25.8,0.19,-0.08,"2,85,40,502"
2018-04-16T18:30:00.000Z,25.65,25.85,25.3,25.65,-0.58,-0.85,"2,77,63,987"
2018-04-17T18:30:00.000Z,25.7,26.2,25.5,25.8,0.58,0.31,"2,95,55,267"
2018-04-18T18:30:00.000Z,25.8,26.3,25.5,26.15,1.36,1.08,"2,62,15,675"
2018-04-19T18:30:00.000Z,26.2,26.5,25.7,26,-0.57,-0.85,"2,29,11,489"
2018-04-22T18:30:00.000Z,26,26.1,25.65,25.85,-0.58,-0.85,"61,36,777"
2018-04-23T18:30:00.000Z,25.85,25.9,24.9,25.3,-2.13,-2.4,"94,07,684"
2018-04-24T18:30:00.000Z,25.1,25.25,24.65,24.8,-1.98,-2.25,"53,88,575"
2018-04-25T18:30:00.000Z,24.6,24.8,24.15,24.3,-2.02,-2.29,"1,25,63,843"
2018-04-26T18:30:00.000Z,24.5,25.45,24.4,25.3,4.12,3.84,"1,17,72,328"
