Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2018-01-01T18:30:00.000Z,567,568.6,556.35,559.5,-1.06,-1.13,"62,92,268"
2018-01-02T18:30:00.000Z,561.3,565.45,555.75,560.45,0.17,0.1,"39,90,149"
2018-01-03T18:30:00.000Z,564.85,565,558,559.9,-0.1,-0.16,"27,66,664"
2018-01-04T18:30:00.000Z,561.05,566,556.7,563.25,0.6,0.53,"32,49,056"
2018-01-07T18:30:00.000Z,565.8,568,562.45,565.45,0.39,0.33,"37,70,339"
2018-01-08T18:30:00.000Z,564,573,563,565.3,-0.03,-0.09,"46,07,504"
2018-01-09T18:30:00.000Z,566.15,566.7,560.45,562.8,-0.44,-0.51,"24,11,625"
2018-01-10T18:30:00.000Z,562,563.15,553.55,558.75,-0.72,-0.78,"28,25,941"
2018-01-11T18:30:00.000Z,560.2,563.4,552.5,555.1,-0.65,-0.72,"60,13,121"
2018-01-14T18:30:00.000Z,556.7,564.45,556.4,560.55,0.98,0.92,"39,43,472"
2018-01-15T18:30:00.000Z,562.95,566.9,555.8,563.2,0.47,0.41,"59,93,564"
2018-01-16T18:30:00.000Z,564.05,589.3,561,585.2,3.91,3.84,"84,53,944"
2018-01-17T18:30:00.000Z,596,597.15,578.6,584.8,-0.07,-0.13,"94,66,991"
2018-01-18T18:30:00.000Z,584.9,594,581.2,590.25,0.93,0.87,"38,97,048"
2018-01-21T18:30:00.000Z,595.95,621.75,583.15,611.55,3.61,3.54,"2,17,90,443"
2018-01-22T18:30:00.000Z,616.4,627.6,611.45,620.1,1.4,1.33,"1,42,86,343"
2018-01-23T18:30:00.000Z,621.9,621.9,606.3,607.95,-1.96,-2.02,"61,58,610"
2018-01-24T18:30:00.000Z,610,619.25,598.6,616.1,1.34,1.28,"67,49,846"
2018-01-28T18:30:00.000Z,614.55,620.9,603.65,605.55,-1.71,-1.78,"70,17,160"
2018-01-29T18:30:00.000Z,605.6,607.45,592.45,593.75,-1.95,-2.01,"64,47,963"
2018-01-30T18:30:00.000Z,589.3,596,587.15,593.6,-0.03,-0.09,"71,08,060"
2018-01-31T18:30:00.000Z,593.6,610,586.1,592.8,-0.13,-0.2,"78,39,731"
2018-02-01T18:30:00.000Z,587.8,587.8,561.3,564.9,-4.71,-4.77,"61,85,174"
2018-02-04T18:30:00.000Z,551.1,568.65,547.5,566.25,0.24,0.17,"93,18,595"
2018-02-05T18:30:00.000Z,543,577.05,534,563.7,-0.45,-0.52,"1,39,38,327"
2018-02-06T18:30:00.000Z,568,574.65,556,559.35,-0.77,-0.84,"76,79,830"
2018-02-07T18:30:00.000Z,562.8,576.9,559.7,568.45,1.63,1.56,"58,16,886"
2018-02-08T18:30:00.000Z,559.9,561.95,550.4,557.55,-1.92,-1.98,"58,65,587"
2018-02-11T18:30:00.000Z,563.7,568,560.35,564.2,1.19,1.13,"47,65,319"
2018-02-13T18:30:00.000Z,565,565.85,540.1,543.9,-3.6,-3.66,"64,78,108"
2018-02-14T18:30:00.000Z,534.75,554.8,531.35,543.7,-0.04,-0.1,"1,15,93,643"
2018-02-15T18:30:00.000Z,547.05,548.6,535,537.85,-1.08,-1.14,"39,10,503"
2018-02-18T18:30:00.000Z,537.85,544.95,527.5,540.55,0.5,0.44,"42,51,723"
2018-02-19T18:30:00.000Z,542,548.05,529.4,531.7,-1.64,-1.7,"33,95,183"
2018-02-20T18:30:00.000Z,534,538.5,524.4,535.8,0.77,0.71,"46,38,382"
2018-02-21T18:30:00.000Z,533,533.75,527.5,530.25,-1.04,-1.1,"78,08,359"
2018-02-22T18:30:00.000Z,527,538.9,525.55,536.65,1.21,1.14,"38,88,629"
2018-02-25T18:30:00.000Z,541.1,554.4,539,552.3,2.92,2.85,"52,97,794"
2018-02-26T18:30:00.000Z,551.6,551.6,536.15,538.4,-2.52,-2.58,"41,36,383"
2018-02-27T18:30:00.000Z,534,536.5,520,528.75,-1.79,-1.86,"66,26,661"
2018-02-28T18:30:00.000Z,524,535.55,522,525.75,-0.57,-0.63,"98,27,510"
2018-03-04T18:30:00.000Z,524,528.95,521.3,524.55,-0.23,-0.29,"67,66,199"
2018-03-05T18:30:00.000Z,526,530.65,511.2,517.35,-1.37,-1.44,"1,22,40,160"
2018-03-06T18:30:00.000Z,510.9,517.9,507.55,512.65,-0.91,-0.97,"1,04,28,057"
2018-03-07T18:30:00.000Z,518.45,523.95,507.45,520.55,1.54,1.48,"84,83,978"
2018-03-08T18:30:00.000Z,522.45,522.55,503,505.35,-2.92,-2.99,"49,55,525"
2018-03-11T18:30:00.000Z,510.6,521.95,505.3,519.2,2.74,2.68,"52,83,334"
2018-03-12T18:30:00.000Z,517.1,534.95,514.65,531.5,2.37,2.3,"78,46,232"
2018-03-13T18:30:00.000Z,528.95,538,522.5,536.15,0.87,0.81,"49,76,540"
2018-03-14T18:30:00.000Z,535.2,539.2,528.25,529.65,-1.21,-1.28,"39,32,830"
2018-03-15T18:30:00.000Z,530.9,532.9,520.5,522.6,-1.33,-1.4,"1,21,46,623"
2018-03-18T18:30:00.000Z,522.6,526,517.05,519.45,-0.6,-0.67,"46,56,613"
2018-03-19T18:30:00.000Z,509,525,509,521.1,0.32,0.25,"53,98,111"
2018-03-20T18:30:00.000Z,523,532.5,522.5,526.3,1,0.93,"55,18,826"
2018-03-21T18:30:00.000Z,522.6,525.9,516.75,518.2,-1.54,-1.6,"71,94,256"
2018-03-22T18:30:00.000Z,509.5,510.25,496,499.5,-3.61,-3.67,"2,93,85,110"
2018-03-25T18:30:00.000Z,499,509.3,495.2,507.3,1.56,1.5,"94,98,614"
2018-03-26T18:30:00.000Z,512.3,522.55,509.05,512.2,0.97,0.9,"64,23,140"
2018-03-27T18:30:00.000Z,512.9,512.9,501.6,510.5,-0.33,-0.4,"1,09,80,960"
2018-04-01T18:30:00.000Z,506.75,508.5,492.2,499.05,-2.24,-2.31,"71,20,498"
2018-04-02T18:30:00.000Z,494,506,493.7,501.55,0.5,0.44,"60,53,789"
2018-04-03T18:30:00.000Z,504.5,504.5,490.25,492.25,-1.85,-1.92,"60,47,813"
2018-04-04T18:30:00.000Z,498.4,504.65,495.2,503.1,2.2,2.14,"66,82,587"
2018-04-05T18:30:00.000Z,502.95,502.95,495.2,500.2,-0.58,-0.64,"38,12,133"
2018-04-08T18:30:00.000Z,502.2,522,501.2,519.3,3.82,3.75,"87,08,770"
2018-04-09T18:30:00.000Z,523,549.7,521.4,546.15,5.17,5.11,"2,16,89,156"
2018-04-10T18:30:00.000Z,550.1,551,534,539.8,-1.16,-1.23,"92,61,807"
2018-04-11T18:30:00.000Z,537.3,550,534.85,548.75,1.66,1.59,"80,21,652"
2018-04-12T18:30:00.000Z,550,555.55,535.75,542.55,-1.13,-1.2,"87,88,919"
2018-04-15T18:30:00.000Z,541.5,543.8,530.35,542.4,-0.03,-0.09,"64,18,203"
2018-04-16T18:30:00.000Z,544.95,544.95,530.25,532.4,-1.84,-1.91,"55,41,004"
2018-04-17T18:30:00.000Z,535.5,535.5,516.5,518.25,-2.66,-2.72,"71,31,174"
2018-04-18T18:30:00.000Z,521,521.45,509.1,512.9,-1.03,-1.1,"1,05,59,623"
2018-04-19T18:30:00.000Z,513.5,513.85,503,505.7,-1.4,-1.47,"44,37,940"
2018-04-22T18:30:00.000Z,508.4,511.2,500,506.2,0.1,0.03,"47,66,412"
2018-04-23T18:30:00.000Z,506,514.75,503.35,504.85,-0.27,-0.33,"45,64,259"
2018-04-24T18:30:00.000Z,506,506,496.3,498.4,-1.28,-1.34,"46,08,455"
