Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2018-01-01T18:30:00.000Z,258.45,259.7,251.4,253.9,-1.09,-1.18,"54,96,883"
2018-01-02T18:30:00.000Z,254,261.9,254,258.3,1.73,1.65,"73,42,607"
2018-01-03T18:30:00.000Z,258.25,260.2,255.55,257.5,-0.31,-0.39,"41,23,938"
2018-01-04T18:30:00.000Z,258.35,265.25,257.6,259.95,0.95,0.87,"72,38,574"
2018-01-07T18:30:00.000Z,260.8,262.7,258.15,260.25,0.12,0.03,"39,45,670"
2018-01-08T18:30:00.000Z,260.9,271.4,258.25,269.85,3.69,3.6,"1,31,35,536"
2018-01-09T18:30:00.000Z,270.6,272.25,265.7,269.35,-0.19,-0.27,"1,09,67,347"
2018-01-10T18:30:00.000Z,269,273.85,267.35,270.5,0.43,0.34,"65,30,547"
2018-01-11T18:30:00.000Z,270.75,272.15,262.35,268.55,-0.72,-0.81,"58,42,102"
2018-01-14T18:30:00.000Z,268.55,271.45,265.6,266.85,-0.63,-0.72,"34,49,870"
2018-01-15T18:30:00.000Z,268.25,268.4,256,257.55,-3.49,-3.57,"58,99,206"
2018-01-16T18:30:00.000Z,258.7,263.65,249.75,262.6,1.96,1.88,"79,01,148"
2018-01-17T18:30:00.000Z,263.4,264.95,246.8,250.2,-4.72,-4.81,"67,64,646"
2018-01-18T18:30:00.000Z,249,252.75,245.55,249.3,-0.36,-0.44,"65,11,361"
2018-01-21T18:30:00.000Z,250.5,253.1,245.6,250.95,0.66,0.58,"50,26,796"
2018-01-22T18:30:00.000Z,250.6,262.2,250.6,259.65,3.47,3.38,"90,49,840"
2018-01-23T18:30:00.000Z,259,265.4,256.6,258.95,-0.27,-0.35,"94,39,889"
2018-01-24T18:30:00.000Z,256.95,261.5,252.55,253.6,-2.07,-2.15,"59,21,504"
2018-01-28T18:30:00.000Z,255.1,260.25,250.75,254.05,0.18,0.09,"59,14,647"
2018-01-29T18:30:00.000Z,251.5,256.4,251.5,253.9,-0.06,-0.14,"50,13,590"
2018-01-30T18:30:00.000Z,253.05,257.6,247.55,250.1,-1.5,-1.58,"63,09,912"
2018-01-31T18:30:00.000Z,251.7,253.7,236.7,245,-2.04,-2.12,"1,05,09,963"
2018-02-01T18:30:00.000Z,240,242.3,204.5,223.4,-8.82,-8.9,"1,69,04,503"
2018-02-04T18:30:00.000Z,218.4,231.6,214,228.3,2.19,2.11,"1,03,72,280"
2018-02-05T18:30:00.000Z,212.05,230.75,210,225.45,-1.25,-1.33,"1,29,18,029"
2018-02-06T18:30:00.000Z,229,232,223,225.25,-0.09,-0.17,"94,98,474"
2018-02-07T18:30:00.000Z,225.9,233.7,225.35,229.35,1.82,1.74,"82,01,053"
2018-02-08T18:30:00.000Z,222,232.3,221.5,229.05,-0.13,-0.22,"79,06,691"
2018-02-11T18:30:00.000Z,231.9,237.45,230,233.75,2.05,1.97,"70,12,358"
2018-02-13T18:30:00.000Z,239.7,239.7,229.7,230.95,-1.2,-1.28,"80,92,805"
2018-02-14T18:30:00.000Z,233,235.4,227.85,231.15,0.09,0,"54,17,282"
2018-02-15T18:30:00.000Z,232.65,234.35,224.3,225.65,-2.38,-2.46,"65,24,609"
2018-02-18T18:30:00.000Z,224.9,225.5,218.25,223.4,-1,-1.08,"79,83,021"
