Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2018-01-01T18:30:00.000Z,274.4,274.4,268.1,271.9,0.28,0.17,"45,46,324"
2018-01-02T18:30:00.000Z,273.4,279.35,273.1,276.5,1.69,1.59,"72,85,874"
2018-01-03T18:30:00.000Z,277.1,281.3,274.8,279.8,1.19,1.09,"1,03,46,774"
2018-01-04T18:30:00.000Z,282,284,275.1,276.4,-1.22,-1.32,"70,84,973"
2018-01-07T18:30:00.000Z,277,279.05,273.7,276.15,-0.09,-0.19,"41,57,464"
2018-01-08T18:30:00.000Z,277.55,277.55,270.65,271.5,-1.68,-1.79,"51,97,857"
2018-01-09T18:30:00.000Z,272.8,276.5,266.6,268.8,-0.99,-1.1,"74,72,579"
2018-01-10T18:30:00.000Z,268.8,271.15,266.8,267.75,-0.39,-0.49,"65,02,699"
2018-01-11T18:30:00.000Z,269,271.6,266.65,268.85,0.41,0.31,"44,35,500"
2018-01-14T18:30:00.000Z,270.2,274.65,265.8,266.7,-0.8,-0.9,"65,92,272"
2018-01-15T18:30:00.000Z,267.8,268,259.7,260.55,-2.31,-2.41,"84,47,591"
2018-01-16T18:30:00.000Z,260.3,265.25,256.45,262.75,0.84,0.74,"1,10,37,340"
2018-01-17T18:30:00.000Z,263.7,263.7,252.1,253.9,-3.37,-3.47,"1,13,41,249"
2018-01-18T18:30:00.000Z,254,259.35,252.2,258,1.61,1.51,"58,98,314"
2018-01-21T18:30:00.000Z,258,258.8,251.1,255.1,-1.12,-1.23,"62,30,212"
2018-01-22T18:30:00.000Z,256.1,270.7,256.1,264.95,3.86,3.76,"1,74,00,430"
2018-01-23T18:30:00.000Z,263.55,264.4,256.8,258.7,-2.36,-2.46,"64,09,442"
2018-01-24T18:30:00.000Z,259.3,266.85,256.4,258.95,0.1,-0.01,"1,52,54,979"
2018-01-28T18:30:00.000Z,261.6,263.9,253.4,258.6,-0.14,-0.24,"59,90,929"
2018-01-29T18:30:00.000Z,257.75,258,252.55,253.55,-1.95,-2.06,"52,86,436"
2018-01-30T18:30:00.000Z,253.4,263.2,252,256.15,1.03,0.92,"1,75,14,495"
2018-01-31T18:30:00.000Z,257.8,259.5,248.75,256.25,0.04,-0.06,"89,40,788"
2018-02-01T18:30:00.000Z,256.45,261.65,245.75,249.85,-2.5,-2.6,"2,17,37,420"
2018-02-04T18:30:00.000Z,242.5,249.4,240.25,246.6,-1.3,-1.4,"84,62,501"
2018-02-05T18:30:00.000Z,236,248.5,232.5,244.4,-0.89,-1,"1,04,73,645"
2018-02-06T18:30:00.000Z,245,253,244.1,246,0.65,0.55,"1,37,07,458"
2018-02-07T18:30:00.000Z,245.6,249.35,240.5,245.2,-0.33,-0.43,"1,01,80,978"
2018-02-08T18:30:00.000Z,240,245.5,237.35,243.5,-0.69,-0.8,"70,24,965"
2018-02-11T18:30:00.000Z,247,247.65,242,243.25,-0.1,-0.21,"55,57,349"
2018-02-13T18:30:00.000Z,246.3,246.55,241.75,243.25,0,-0.1,"71,21,280"
2018-02-14T18:30:00.000Z,245.5,254.25,244,251.5,3.39,3.29,"1,00,53,559"
2018-02-15T18:30:00.000Z,255.5,256.95,246.4,247.65,-1.53,-1.63,"76,29,453"
2018-02-18T18:30:00.000Z,248.1,250.5,242.6,247.55,-0.04,-0.14,"60,56,718"
2018-02-19T18:30:00.000Z,247.8,252.4,246.8,248.8,0.5,0.4,"47,78,807"
