Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2018-01-01T18:30:00.000Z,310.95,311.7,307.5,309.7,-0.19,-0.3,"70,46,560"
2018-01-02T18:30:00.000Z,312.5,316.35,312.5,315,1.71,1.61,"88,98,342"
2018-01-03T18:30:00.000Z,314.95,315.65,311.5,314.7,-0.1,-0.2,"63,85,367"
2018-01-04T18:30:00.000Z,314.45,315.15,311.6,312.9,-0.57,-0.67,"63,66,054"
2018-01-07T18:30:00.000Z,313.5,318.2,312.6,314.15,0.4,0.3,"73,29,648"
2018-01-08T18:30:00.000Z,314.8,315.8,310.75,312.6,-0.49,-0.6,"91,90,909"
2018-01-09T18:30:00.000Z,312.55,312.95,310.55,312,-0.19,-0.29,"67,36,971"
2018-01-10T18:30:00.000Z,312.5,312.5,308.55,309.5,-0.8,-0.9,"83,66,718"
2018-01-11T18:30:00.000Z,309.6,318.8,309.6,317.7,2.65,2.55,"1,16,99,345"
2018-01-14T18:30:00.000Z,320.8,330.7,320.25,329.3,3.65,3.55,"3,02,42,005"
2018-01-15T18:30:00.000Z,329.75,340.75,326.55,334.1,1.46,1.36,"2,67,07,100"
2018-01-16T18:30:00.000Z,334.05,344.2,334.05,343.25,2.74,2.64,"4,33,05,353"
2018-01-17T18:30:00.000Z,350,353.2,343,346.15,0.84,0.74,"3,15,04,669"
2018-01-18T18:30:00.000Z,347.45,355,340.8,353.6,2.15,2.05,"1,88,12,611"
2018-01-21T18:30:00.000Z,352.4,352.9,344.8,351.5,-0.59,-0.7,"1,52,69,782"
2018-01-22T18:30:00.000Z,350.45,364.45,350.45,362.3,3.07,2.97,"2,24,85,663"
2018-01-23T18:30:00.000Z,357.75,359.2,351.8,352.75,-2.64,-2.74,"1,28,15,095"
2018-01-24T18:30:00.000Z,352.5,364.8,350.7,360.8,2.28,2.18,"3,01,83,655"
2018-01-28T18:30:00.000Z,360,365.7,355.6,357.65,-0.87,-0.98,"1,78,55,095"
2018-01-29T18:30:00.000Z,356.8,356.8,350.5,353.25,-1.23,-1.33,"1,33,58,981"
2018-01-30T18:30:00.000Z,348.85,353.95,343.6,352.95,-0.08,-0.19,"2,26,38,319"
2018-01-31T18:30:00.000Z,347.55,355.9,343.8,346.2,-1.91,-2.01,"2,94,72,295"
2018-02-01T18:30:00.000Z,342.55,343.7,333.7,335.1,-3.21,-3.31,"1,69,57,983"
2018-02-04T18:30:00.000Z,327.6,334.25,327.05,329.7,-1.61,-1.71,"1,73,39,547"
2018-02-05T18:30:00.000Z,315.25,337.95,313,330.7,0.3,0.2,"1,84,91,736"
2018-02-06T18:30:00.000Z,335.35,336.4,329.9,332.55,0.56,0.46,"1,18,19,190"
2018-02-07T18:30:00.000Z,332.55,338.4,329.5,333.85,0.39,0.29,"1,02,94,899"
2018-02-08T18:30:00.000Z,325,328.65,322.65,326.75,-2.13,-2.23,"94,93,398"
2018-02-11T18:30:00.000Z,328.85,329.2,323.25,326.25,-0.15,-0.26,"83,56,351"
2018-02-13T18:30:00.000Z,327,327,316.55,318.95,-2.24,-2.34,"1,51,89,066"
2018-02-14T18:30:00.000Z,322.15,331.8,322.15,328.65,3.04,2.94,"2,37,79,772"
2018-02-15T18:30:00.000Z,330.35,334,318.8,321.05,-2.31,-2.41,"1,75,85,994"
2018-02-18T18:30:00.000Z,329.5,329.6,315.2,319.75,-0.4,-0.51,"1,90,44,107"
2018-02-19T18:30:00.000Z,320.5,324.2,316.3,317.25,-0.78,-0.88,"1,60,30,558"
2018-02-20T18:30:00.000Z,319,320.7,315.7,319.2,0.61,0.51,"99,74,873"
2018-02-21T18:30:00.000Z,317,319.3,313.95,318.35,-0.27,-0.37,"2,55,30,698"
2018-02-22T18:30:00.000Z,319.05,324.05,318.35,322.75,1.38,1.28,"79,49,765"
2018-02-25T18:30:00.000Z,325,327.8,323.15,327.05,1.33,1.23,"71,33,735"
2018-02-26T18:30:00.000Z,327,327.05,319.65,322.15,-1.5,-1.6,"96,23,651"
2018-02-27T18:30:00.000Z,315.15,317,311.1,313.25,-2.76,-2.86,"1,74,81,687"
2018-02-28T18:30:00.000Z,312.65,314,304.25,304.95,-2.65,-2.75,"1,89,86,889"
2018-03-04T18:30:00.000Z,304.45,306.5,299.3,303.35,-0.52,-0.63,"1,44,56,193"
2018-03-05T18:30:00.000Z,307.4,307.7,294.2,295.05,-2.74,-2.84,"1,89,51,451"
2018-03-06T18:30:00.000Z,293.3,293.8,285.35,286.7,-2.83,-2.93,"3,14,72,773"
2018-03-07T18:30:00.000Z,290.25,298,289.25,296.95,3.58,3.47,"2,14,13,552"
2018-03-08T18:30:00.000Z,299,299.5,290.7,292.7,-1.43,-1.53,"1,24,89,587"
2018-03-11T18:30:00.000Z,295.6,301.9,293.75,300.65,2.72,2.61,"1,21,63,952"
2018-03-12T18:30:00.000Z,300.1,307,299.6,304.35,1.23,1.13,"1,59,66,647"
2018-03-13T18:30:00.000Z,303.15,307.45,297.8,306.05,0.56,0.46,"1,29,64,285"
2018-03-14T18:30:00.000Z,305.75,305.75,300.4,301.45,-1.5,-1.61,"1,32,82,019"
