Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2018-01-01T18:30:00.000Z,1267,1269.9,1242.85,1249.75,-0.87,-0.91,"15,12,324"
2018-01-02T18:30:00.000Z,1255.9,1283.95,1251.5,1275.3,2.04,2,"27,20,736"
2018-01-03T18:30:00.000Z,1284.95,1320,1280.1,1315.7,3.17,3.13,"45,46,456"
2018-01-04T18:30:00.000Z,1325,1328.95,1308,1314.9,-0.06,-0.1,"24,18,902"
2018-01-07T18:30:00.000Z,1316.5,1345.95,1316.5,1338.25,1.78,1.74,"35,13,256"
2018-01-08T18:30:00.000Z,1340,1343,1326.4,1332.75,-0.41,-0.45,"17,03,294"
2018-01-09T18:30:00.000Z,1332.2,1336.5,1317.65,1323.75,-0.68,-0.72,"10,98,019"
2018-01-10T18:30:00.000Z,1320.2,1326.8,1313.05,1323.55,-0.02,-0.06,"12,32,290"
2018-01-11T18:30:00.000Z,1325.5,1332.3,1309.75,1329.15,0.42,0.38,"18,25,056"
2018-01-14T18:30:00.000Z,1334.85,1351.2,1323.6,1325.95,-0.24,-0.28,"23,86,631"
2018-01-15T18:30:00.000Z,1331.05,1339.65,1323.35,1326.2,0.02,-0.02,"31,39,385"
2018-01-16T18:30:00.000Z,1323,1357,1320.25,1353.35,2.05,2.01,"27,24,814"
2018-01-17T18:30:00.000Z,1360,1385,1350.45,1360.8,0.55,0.51,"49,66,982"
2018-01-18T18:30:00.000Z,1362,1378.65,1353.5,1371.45,0.78,0.74,"21,27,776"
2018-01-21T18:30:00.000Z,1289.2,1403.65,1289.2,1398.85,2,1.96,"30,67,658"
2018-01-22T18:30:00.000Z,1406,1415,1393.1,1410.7,0.85,0.81,"48,04,202"
2018-01-23T18:30:00.000Z,1407.1,1409.8,1389.8,1401.2,-0.67,-0.71,"21,47,973"
2018-01-24T18:30:00.000Z,1392,1427.05,1392,1416.5,1.09,1.05,"61,13,475"
2018-01-28T18:30:00.000Z,1418,1441.65,1418,1431.95,1.09,1.05,"29,45,415"
2018-01-29T18:30:00.000Z,1429.95,1436.7,1406.75,1429.9,-0.14,-0.18,"19,88,140"
2018-01-30T18:30:00.000Z,1431.9,1439.7,1412,1416.5,-0.94,-0.98,"26,14,515"
2018-01-31T18:30:00.000Z,1458.9,1470,1405.2,1455.6,2.76,2.72,"81,87,730"
2018-02-01T18:30:00.000Z,1448,1448,1410.05,1415.45,-2.76,-2.8,"36,21,563"
2018-02-04T18:30:00.000Z,1380,1400,1355.1,1363.65,-3.66,-3.7,"30,60,688"
2018-02-05T18:30:00.000Z,1319.95,1372.35,1294.25,1353.05,-0.78,-0.82,"42,30,633"
2018-02-06T18:30:00.000Z,1370,1370,1330,1333.75,-1.43,-1.47,"29,27,403"
2018-02-07T18:30:00.000Z,1345,1359.5,1333,1347.4,1.02,0.98,"19,32,082"
2018-02-08T18:30:00.000Z,1324.8,1343,1318.1,1329.25,-1.35,-1.39,"20,29,257"
2018-02-11T18:30:00.000Z,1334.55,1355,1334.55,1350.5,1.6,1.56,"15,43,603"
2018-02-13T18:30:00.000Z,1354.7,1372.5,1345.6,1361.2,0.79,0.75,"23,10,144"
2018-02-14T18:30:00.000Z,1364.4,1370,1346.4,1350.35,-0.8,-0.84,"18,61,841"
2018-02-15T18:30:00.000Z,1358,1364,1320.45,1328.4,-1.63,-1.67,"14,24,576"
2018-02-18T18:30:00.000Z,1328,1330.95,1287,1295.5,-2.48,-2.52,"42,75,673"
