Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2018-01-01T18:30:00.000Z,99.96,100.56,97.8,98.92,-0.12,-0.14,"55,76,051"
2018-01-02T18:30:00.000Z,99.6,99.8,98.44,99,0.08,0.06,"31,26,273"
2018-01-03T18:30:00.000Z,99.4,100.76,99,100.24,1.25,1.23,"43,71,234"
2018-01-04T18:30:00.000Z,100.4,101.12,99.52,100.04,-0.2,-0.22,"32,71,513"
2018-01-07T18:30:00.000Z,100.2,101.56,99.84,101.36,1.32,1.3,"35,75,815"
2018-01-08T18:30:00.000Z,101.28,102.64,100.6,101.2,-0.16,-0.18,"37,35,576"
2018-01-09T18:30:00.000Z,101.2,101.8,99.28,99.84,-1.34,-1.36,"24,33,431"
2018-01-10T18:30:00.000Z,99.76,102.88,99.28,102.28,2.44,2.42,"53,02,788"
2018-01-11T18:30:00.000Z,103.4,103.4,99.76,100.96,-1.29,-1.31,"43,00,004"
2018-01-14T18:30:00.000Z,101.08,101.56,99.52,99.68,-1.27,-1.29,"28,68,911"
2018-01-15T18:30:00.000Z,99.64,100.4,96.16,96.8,-2.89,-2.91,"44,42,672"
2018-01-16T18:30:00.000Z,96.64,97.88,94.52,97.6,0.83,0.81,"41,57,893"
2018-01-17T18:30:00.000Z,97.8,98.48,94.92,95.4,-2.25,-2.27,"45,11,605"
2018-01-18T18:30:00.000Z,95.52,97.64,95.24,96.16,0.8,0.78,"53,20,281"
2018-01-21T18:30:00.000Z,96.8,96.8,95.28,96,-0.17,-0.19,"29,63,447"
2018-01-22T18:30:00.000Z,96,97.6,96,96.8,0.83,0.81,"37,62,017"
2018-01-23T18:30:00.000Z,96.8,98,96.04,97.2,0.41,0.39,"50,27,861"
2018-01-24T18:30:00.000Z,97,97.48,94.6,95,-2.26,-2.28,"53,78,184"
2018-01-28T18:30:00.000Z,95.52,95.84,93.76,94.08,-0.97,-0.99,"28,80,079"
2018-01-29T18:30:00.000Z,93.96,95,93.4,93.88,-0.21,-0.23,"29,98,357"
2018-01-30T18:30:00.000Z,93.68,94.8,92,93.44,-0.47,-0.49,"55,22,906"
2018-01-31T18:30:00.000Z,94.4,95.2,92.24,93.6,0.17,0.15,"69,83,235"
2018-02-01T18:30:00.000Z,92.08,93.2,88.04,88.76,-5.17,-5.19,"1,00,86,451"
2018-02-04T18:30:00.000Z,88.64,91.16,85.68,89.88,1.26,1.24,"58,60,031"
2018-02-05T18:30:00.000Z,86.4,88.64,84.32,86.84,-3.38,-3.4,"73,13,821"
2018-02-06T18:30:00.000Z,88.32,88.76,86.48,87.52,0.78,0.76,"44,38,692"
2018-02-07T18:30:00.000Z,88.24,89.56,87.48,88.12,0.69,0.66,"39,06,768"
2018-02-08T18:30:00.000Z,87.12,87.84,86.48,87.44,-0.77,-0.79,"36,53,807"
2018-02-11T18:30:00.000Z,88.44,89.68,87.68,89,1.78,1.76,"46,12,747"
2018-02-13T18:30:00.000Z,88.8,90.28,87.88,89,0,-0.02,"46,91,167"
2018-02-14T18:30:00.000Z,89.2,89.4,86.56,87.08,-2.16,-2.18,"40,75,392"
2018-02-15T18:30:00.000Z,87.28,87.8,85.08,85.72,-1.56,-1.58,"50,78,197"
2018-02-18T18:30:00.000Z,86,86.56,84.16,85.28,-0.51,-0.53,"30,19,040"
2018-02-19T18:30:00.000Z,85.28,85.68,83.84,84.56,-0.84,-0.87,"30,41,262"
2018-02-20T18:30:00.000Z,85.04,85.12,82.64,83.68,-1.04,-1.06,"50,85,209"
2018-02-21T18:30:00.000Z,83.64,85.28,83.16,83.72,0.05,0.03,"79,70,917"
2018-02-22T18:30:00.000Z,84.16,86.6,83.76,86.24,3.01,2.99,"56,22,029"
2018-02-25T18:30:00.000Z,86.88,89.64,86.4,88.28,2.37,2.34,"80,82,628"
2018-02-26T18:30:00.000Z,88.44,88.72,85.64,85.92,-2.67,-2.69,"55,54,775"
2018-02-27T18:30:00.000Z,85.2,85.32,84,84.08,-2.14,-2.16,"68,66,804"
2018-02-28T18:30:00.000Z,83.76,84.48,81.68,81.96,-2.52,-2.54,"59,33,557"
2018-03-04T18:30:00.000Z,81.16,81.72,80.88,81.4,-0.68,-0.7,"63,69,449"
2018-03-05T18:30:00.000Z,80.8,81.24,78.64,79.2,-2.7,-2.72,"72,25,144"
2018-03-06T18:30:00.000Z,78.72,78.76,76.08,76.24,-3.74,-3.76,"78,54,861"
2018-03-07T18:30:00.000Z,75.92,75.96,71.44,73.52,-3.57,-3.59,"1,24,09,532"
2018-03-08T18:30:00.000Z,73.6,75.6,73.52,74.48,1.31,1.28,"76,80,222"
2018-03-11T18:30:00.000Z,74.72,75.08,68.88,70.6,-5.21,-5.23,"1,26,17,836"
2018-03-12T18:30:00.000Z,71.36,73.48,68.96,71.88,1.81,1.79,"1,27,92,730"
2018-03-13T18:30:00.000Z,70.92,71.44,68.88,69.36,-3.51,-3.53,"1,64,06,495"
2018-03-14T18:30:00.000Z,69.12,71,69,70.44,1.56,1.54,"1,00,05,593"
2018-03-15T18:30:00.000Z,70.72,72.36,70,70.4,-0.06,-0.08,"1,53,07,224"
2018-03-18T18:30:00.000Z,70.44,70.96,67.72,70.16,-0.34,-0.36,"1,22,26,065"
2018-03-19T18:30:00.000Z,69.64,71.68,69.44,71.16,1.43,1.4,"94,70,767"
2018-03-20T18:30:00.000Z,71.6,73,70.48,71.2,0.06,0.04,"84,62,253"
2018-03-21T18:30:00.000Z,71.52,71.52,69.28,69.44,-2.47,-2.49,"48,15,269"
2018-03-22T18:30:00.000Z,68.04,68.44,66.64,68.12,-1.9,-1.92,"67,46,446"
2018-03-25T18:30:00.000Z,68,69.8,67.44,69.56,2.11,2.09,"52,64,676"
2018-03-26T18:30:00.000Z,70.8,72.04,70.4,70.72,1.67,1.65,"86,03,279"
2018-03-27T18:30:00.000Z,69.92,69.92,68.12,68.52,-3.11,-3.13,"1,03,81,168"
2018-04-01T18:30:00.000Z,68.08,70.2,68.08,69.68,1.69,1.67,"42,55,672"
2018-04-02T18:30:00.000Z,69.28,70.6,68.92,70.28,0.86,0.84,"35,59,037"
2018-04-03T18:30:00.000Z,70.76,71.56,68.48,68.84,-2.05,-2.07,"67,46,709"
2018-04-04T18:30:00.000Z,69.56,70.88,69.4,70.48,2.38,2.36,"47,62,849"
2018-04-05T18:30:00.000Z,70.4,71.96,70.16,71.68,1.7,1.68,"32,09,240"
