Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2018-01-01T18:30:00.000Z,170.5,170.9,165.4,166.4,-1.97,-1.89,"1,37,29,132"
2018-01-02T18:30:00.000Z,168,169.3,166.2,166.6,0.12,0.2,"85,34,233"
2018-01-03T18:30:00.000Z,167.35,179.7,165.4,176.45,5.91,5.99,"3,16,13,344"
2018-01-04T18:30:00.000Z,180.4,180.5,175.4,176,-0.26,-0.17,"1,55,00,426"
2018-01-07T18:30:00.000Z,177.05,178.15,175.1,175.7,-0.17,-0.09,"73,02,294"
2018-01-08T18:30:00.000Z,175.3,177.9,174.05,174.65,-0.6,-0.52,"1,11,52,776"
2018-01-09T18:30:00.000Z,174.45,174.9,170,170.65,-2.29,-2.21,"90,21,131"
2018-01-10T18:30:00.000Z,170.3,173.6,169.55,172.75,1.23,1.31,"86,83,986"
2018-01-11T18:30:00.000Z,173.5,174.9,171.45,174.2,0.84,0.92,"1,12,23,630"
2018-01-14T18:30:00.000Z,174.95,175.85,171.85,172.15,-1.18,-1.1,"71,04,648"
2018-01-15T18:30:00.000Z,172.25,172.95,165.1,165.55,-3.83,-3.75,"1,19,16,843"
2018-01-16T18:30:00.000Z,165.5,177,162.65,175.55,6.04,6.12,"2,52,99,752"
2018-01-17T18:30:00.000Z,180.7,182.75,168.65,170.5,-2.88,-2.8,"3,29,23,946"
2018-01-18T18:30:00.000Z,170.8,178,169.35,176.4,3.46,3.54,"2,15,19,974"
2018-01-21T18:30:00.000Z,176.1,177.3,172.2,176,-0.23,-0.15,"1,13,70,450"
2018-01-22T18:30:00.000Z,176.05,187.8,175.25,185.8,5.57,5.65,"2,81,76,767"
2018-01-23T18:30:00.000Z,185.25,196.35,182.1,194.65,4.76,4.84,"5,07,53,260"
2018-01-24T18:30:00.000Z,197,197,180,180.9,-7.06,-6.98,"4,58,08,402"
2018-01-28T18:30:00.000Z,181.7,182.35,172.6,173.95,-3.84,-3.76,"1,84,81,283"
2018-01-29T18:30:00.000Z,173.3,175.9,171.4,172.65,-0.75,-0.67,"1,69,14,910"
2018-01-30T18:30:00.000Z,171.5,175.2,168.8,171.35,-0.75,-0.67,"1,53,13,331"
2018-01-31T18:30:00.000Z,172.8,174.6,166,167.55,-2.22,-2.14,"1,58,01,115"
2018-02-01T18:30:00.000Z,165,168.7,160.5,161.85,-3.4,-3.32,"1,76,22,089"
2018-02-04T18:30:00.000Z,158,166.2,156.9,163.7,1.14,1.22,"2,06,88,955"
2018-02-05T18:30:00.000Z,151.25,164.7,151.25,161.05,-1.62,-1.54,"2,75,30,912"
2018-02-06T18:30:00.000Z,163.95,164.9,155.6,156.55,-2.79,-2.71,"2,28,87,593"
2018-02-07T18:30:00.000Z,157,161.5,156.6,159.35,1.79,1.87,"1,63,58,889"
2018-02-08T18:30:00.000Z,156,158,155.3,156.8,-1.6,-1.52,"96,08,396"
2018-02-11T18:30:00.000Z,157.05,163.95,156.5,161.65,3.09,3.17,"1,53,91,679"
2018-02-13T18:30:00.000Z,158.95,158.95,144.65,145.85,-9.77,-9.69,"6,83,96,778"
2018-02-14T18:30:00.000Z,137.6,139.7,125.25,128.25,-12.07,-11.99,"17,71,12,217"
2018-02-15T18:30:00.000Z,125.6,128.4,120.55,125.55,-2.11,-2.02,"15,66,91,203"
2018-02-18T18:30:00.000Z,122,123.5,113.55,116.5,-7.21,-7.13,"13,08,98,125"
2018-02-19T18:30:00.000Z,113.9,118.45,111,116.55,0.04,0.12,"14,66,38,863"
2018-02-20T18:30:00.000Z,118.15,119.5,115.55,117.3,0.64,0.72,"6,75,41,786"
2018-02-21T18:30:00.000Z,114.6,116.8,113.7,114.6,-2.3,-2.22,"4,53,02,555"
2018-02-22T18:30:00.000Z,114.4,116.95,112.3,113.45,-1,-0.92,"4,50,35,931"
2018-02-25T18:30:00.000Z,115,115,110.15,112,-1.28,-1.2,"4,26,08,524"
2018-02-26T18:30:00.000Z,106.8,106.8,96.05,98.35,-12.19,-12.11,"20,20,69,429"
2018-02-27T18:30:00.000Z,93.6,102.4,92,101.4,3.1,3.18,"21,07,81,693"
2018-02-28T18:30:00.000Z,100.7,103.75,98.8,101.05,-0.35,-0.26,"12,21,05,493"
2018-03-04T18:30:00.000Z,99.9,102.4,98.8,100.1,-0.94,-0.86,"5,92,37,515"
2018-03-05T18:30:00.000Z,101,102,96.8,97.85,-2.25,-2.17,"4,34,75,662"
2018-03-06T18:30:00.000Z,96,96.9,94.05,95.5,-2.4,-2.32,"5,25,73,179"
2018-03-07T18:30:00.000Z,96.15,97.45,94.3,96.65,1.2,1.29,"3,46,80,221"
2018-03-08T18:30:00.000Z,97.4,97.65,95,95.6,-1.09,-1.01,"3,02,39,013"
2018-03-11T18:30:00.000Z,96.2,96.3,91.25,94.6,-1.05,-0.96,"4,50,21,305"
2018-03-12T18:30:00.000Z,94.2,102.65,93.3,97.95,3.54,3.62,"8,60,99,105"
2018-03-13T18:30:00.000Z,94,100.35,93.3,99.3,1.38,1.46,"8,34,49,240"
2018-03-14T18:30:00.000Z,99.3,101,97.8,98.55,-0.76,-0.67,"4,29,11,688"
2018-03-15T18:30:00.000Z,98.4,102.25,97.6,98.85,0.3,0.39,"5,53,39,873"
2018-03-18T18:30:00.000Z,98.55,100.45,96.1,96.55,-2.33,-2.25,"3,35,30,881"
2018-03-19T18:30:00.000Z,96,97.5,95.25,96.85,0.31,0.39,"2,79,06,714"
2018-03-20T18:30:00.000Z,97.55,99.15,97.15,97.6,0.77,0.86,"2,32,76,651"
2018-03-21T18:30:00.000Z,97.65,98.15,95.7,96.55,-1.08,-0.99,"1,64,01,398"
2018-03-22T18:30:00.000Z,94.45,95.1,92.75,93.15,-3.52,-3.44,"2,30,75,193"
2018-03-25T18:30:00.000Z,93.4,96.45,93.05,95.8,2.84,2.93,"2,67,95,299"
2018-03-26T18:30:00.000Z,97.2,100,96.3,99.45,3.81,3.89,"2,94,03,384"
2018-03-27T18:30:00.000Z,97.95,99.15,94.55,95.3,-4.17,-4.09,"3,01,09,801"
2018-04-01T18:30:00.000Z,96.3,96.85,95.4,96.3,1.05,1.13,"1,35,43,335"
2018-04-02T18:30:00.000Z,97.55,98.9,94.65,95.45,-0.88,-0.8,"2,53,44,799"
2018-04-03T18:30:00.000Z,96,97,94.2,94.4,-1.1,-1.02,"2,14,91,684"
2018-04-04T18:30:00.000Z,95.9,98.1,95.15,97,2.75,2.84,"2,58,94,057"
2018-04-05T18:30:00.000Z,97.15,102.85,95.85,102.15,5.31,5.39,"4,78,82,204"
2018-04-08T18:30:00.000Z,103.9,105.55,101.3,105.25,3.03,3.12,"5,02,32,626"
2018-04-09T18:30:00.000Z,106.75,106.75,104.25,105.2,-0.05,0.03,"2,94,70,636"
2018-04-10T18:30:00.000Z,103.5,104.15,101.3,102.2,-2.85,-2.77,"2,45,12,955"
2018-04-11T18:30:00.000Z,102.25,102.9,100.2,101.25,-0.93,-0.85,"2,02,89,152"
2018-04-12T18:30:00.000Z,101.5,103,100.8,101.3,0.05,0.13,"1,56,46,434"
2018-04-15T18:30:00.000Z,100.75,101.75,98.45,99.15,-2.12,-2.04,"1,87,63,829"
2018-04-16T18:30:00.000Z,99.8,100.35,97.6,97.95,-1.21,-1.13,"1,79,90,215"
2018-04-17T18:30:00.000Z,98.05,99,97,97.15,-0.82,-0.74,"1,94,30,044"
2018-04-18T18:30:00.000Z,97.85,97.85,95.8,96.1,-1.08,-1,"1,50,64,019"
2018-04-19T18:30:00.000Z,95.2,95.5,92.8,93.6,-2.6,-2.52,"2,18,89,815"
2018-04-22T18:30:00.000Z,93.9,95.4,93.25,94.1,0.53,0.62,"1,54,14,423"
2018-04-23T18:30:00.000Z,94.4,94.65,92.9,93.15,-1.01,-0.93,"1,17,44,430"
2018-04-24T18:30:00.000Z,93.1,93.8,92,92.3,-0.91,-0.83,"1,29,18,338"
2018-04-25T18:30:00.000Z,92.35,92.6,90.5,91,-1.41,-1.33,"1,87,24,350"
2018-04-26T18:30:00.000Z,91.25,94.6,91.1,93.4,2.64,2.72,"2,52,05,308"
2018-04-29T18:30:00.000Z,94.4,95.7,93.35,95.4,2.14,2.22,"1,37,03,163"
2018-05-01T18:30:00.000Z,95.9,96,92.55,92.8,-2.73,-2.64,"1,08,45,584"
2018-05-02T18:30:00.000Z,93,93.6,91.8,92.05,-0.81,-0.73,"1,16,43,684"
2018-05-03T18:30:00.000Z,92.75,93.15,91.1,91.55,-0.54,-0.46,"1,14,62,253"
