Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2018-01-01T18:30:00.000Z,119.44,119.81,117.15,118.24,-0.47,-0.47,"46,50,712"
2018-01-02T18:30:00.000Z,118.5,119.44,117.94,118.39,0.13,0.13,"34,57,506"
2018-01-03T18:30:00.000Z,118.61,121.88,117.98,121.46,2.59,2.59,"61,12,744"
2018-01-04T18:30:00.000Z,122.17,123.11,120.9,121.09,-0.3,-0.3,"54,00,301"
2018-01-07T18:30:00.000Z,121.42,123.23,121.05,122.96,1.54,1.54,"49,20,313"
2018-01-08T18:30:00.000Z,123.38,124.01,121.54,122.55,-0.33,-0.33,"45,72,961"
2018-01-09T18:30:00.000Z,122.33,123.45,121.01,121.76,-0.64,-0.64,"44,55,988"
2018-01-10T18:30:00.000Z,121.35,123.11,120.45,121.76,0,0,"49,91,332"
2018-01-11T18:30:00.000Z,122.4,122.92,119.89,121.01,-0.62,-0.62,"46,97,282"
2018-01-14T18:30:00.000Z,121.24,122.02,120,120.23,-0.64,-0.64,"33,87,581"
2018-01-15T18:30:00.000Z,120.3,120.98,115.16,115.46,-3.97,-3.97,"61,41,228"
2018-01-16T18:30:00.000Z,115.5,116.92,113.51,116.59,0.98,0.98,"51,00,510"
2018-01-17T18:30:00.000Z,117.38,117.64,113.25,114.71,-1.61,-1.61,"56,48,338"
2018-01-18T18:30:00.000Z,114.83,118.8,114.67,117.34,2.29,2.29,"70,13,705"
2018-01-21T18:30:00.000Z,117.08,117.3,115.73,116.74,-0.51,-0.51,"32,00,753"
2018-01-22T18:30:00.000Z,117.83,118.5,116.77,118.31,1.34,1.34,"48,53,748"
2018-01-23T18:30:00.000Z,117.79,120.52,117.52,120.19,1.59,1.59,"58,95,336"
2018-01-24T18:30:00.000Z,120,120.67,117.79,118.39,-1.5,-1.5,"1,68,34,122"
2018-01-28T18:30:00.000Z,119.17,119.44,117.38,118.2,-0.16,-0.16,"22,75,185"
2018-01-29T18:30:00.000Z,117.75,118.76,116.7,117.6,-0.51,-0.51,"28,31,006"
2018-01-30T18:30:00.000Z,117,118.16,114.83,116.63,-0.82,-0.83,"43,92,853"
2018-01-31T18:30:00.000Z,116.85,119.02,114,115.09,-1.32,-1.32,"81,29,204"
2018-02-01T18:30:00.000Z,114,114.45,108.75,109.05,-5.25,-5.25,"97,01,566"
2018-02-04T18:30:00.000Z,108,112.09,106.76,110.77,1.58,1.58,"51,52,741"
2018-02-05T18:30:00.000Z,106.5,109.27,105.15,108.41,-2.13,-2.13,"61,06,708"
2018-02-06T18:30:00.000Z,109.5,112.61,108.71,111.79,3.12,3.12,"1,08,92,438"
2018-02-07T18:30:00.000Z,112.5,114,111.34,112.91,1,1,"55,90,620"
2018-02-08T18:30:00.000Z,111.75,113.7,110.89,112.46,-0.4,-0.4,"40,79,981"
2018-02-11T18:30:00.000Z,113.44,116.36,113.44,115.54,2.74,2.74,"57,10,282"
2018-02-13T18:30:00.000Z,117.19,117.75,115.09,116.06,0.45,0.45,"65,78,830"
2018-02-14T18:30:00.000Z,110.92,110.96,106.88,107.44,-7.43,-7.43,"86,18,821"
2018-02-15T18:30:00.000Z,108.08,108.41,105,105.9,-1.43,-1.43,"61,94,068"
2018-02-18T18:30:00.000Z,106.42,107.48,103.58,105.11,-0.75,-0.75,"47,44,625"
2018-02-19T18:30:00.000Z,105.52,105.9,102.86,103.99,-1.07,-1.07,"43,68,033"
2018-02-20T18:30:00.000Z,104.55,104.85,102.83,103.31,-0.65,-0.65,"31,08,256"
2018-02-21T18:30:00.000Z,103.16,104.21,102,102.49,-0.79,-0.79,"78,40,817"
2018-02-22T18:30:00.000Z,102.75,105.38,102.75,105.23,2.67,2.67,"33,26,860"
2018-02-25T18:30:00.000Z,106.46,111.67,105.75,109.88,4.42,4.42,"1,31,96,529"
2018-02-26T18:30:00.000Z,110.1,111,108.41,109.01,-0.79,-0.79,"1,29,37,192"
