Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2018-01-01T18:30:00.000Z,309,309,301.35,303.25,-1.25,-1.33,"1,47,97,364"
2018-01-02T18:30:00.000Z,305.3,306.45,302.15,302.85,-0.13,-0.2,"1,38,57,373"
2018-01-03T18:30:00.000Z,304.5,310.2,303.15,308.5,1.87,1.79,"2,45,17,099"
2018-01-04T18:30:00.000Z,311.4,311.4,305.6,306.35,-0.7,-0.77,"1,45,80,575"
2018-01-07T18:30:00.000Z,307.2,309.5,305,305.8,-0.18,-0.25,"1,35,57,197"
2018-01-08T18:30:00.000Z,307.5,309.5,303.3,304.3,-0.49,-0.56,"1,55,74,755"
2018-01-09T18:30:00.000Z,304.65,305.85,300,301.1,-1.05,-1.12,"1,30,64,599"
2018-01-10T18:30:00.000Z,300.9,303,300,302.2,0.37,0.29,"1,22,99,087"
2018-01-11T18:30:00.000Z,304.65,304.65,300.55,302.25,0.02,-0.06,"1,75,94,228"
2018-01-14T18:30:00.000Z,303.95,305.25,301.55,302.6,0.12,0.04,"1,81,89,668"
2018-01-15T18:30:00.000Z,302.4,303.35,295.3,296.15,-2.13,-2.2,"1,80,40,940"
2018-01-16T18:30:00.000Z,296,308.4,292.6,307.1,3.7,3.63,"2,62,77,307"
2018-01-17T18:30:00.000Z,315,317.8,300.5,303.25,-1.25,-1.33,"4,00,00,111"
2018-01-18T18:30:00.000Z,303.95,310,302.5,309.25,1.98,1.91,"1,84,61,642"
2018-01-21T18:30:00.000Z,308.35,308.75,304.05,306.5,-0.89,-0.96,"1,26,22,645"
2018-01-22T18:30:00.000Z,306.4,320.55,306.35,318.1,3.78,3.71,"3,52,52,217"
2018-01-23T18:30:00.000Z,317.7,331.6,316.2,329.9,3.71,3.64,"3,80,70,520"
2018-01-24T18:30:00.000Z,332.75,332.75,311.85,313.15,-5.08,-5.15,"4,24,66,150"
2018-01-28T18:30:00.000Z,313.15,316.9,311,312.1,-0.34,-0.41,"2,36,00,898"
2018-01-29T18:30:00.000Z,312.05,318.85,311,313.55,0.46,0.39,"2,58,10,404"
2018-01-30T18:30:00.000Z,313,316.6,307.85,313.25,-0.1,-0.17,"1,64,09,938"
2018-01-31T18:30:00.000Z,316.9,317.4,305,306.05,-2.3,-2.37,"1,95,15,991"
2018-02-01T18:30:00.000Z,302.9,305.75,295.5,297.35,-2.84,-2.91,"2,32,74,673"
2018-02-04T18:30:00.000Z,292.65,300.4,290,298.05,0.24,0.16,"1,89,40,578"
2018-02-05T18:30:00.000Z,285,297.3,282.9,291.75,-2.11,-2.19,"3,05,77,218"
2018-02-06T18:30:00.000Z,296.6,297.9,290,292.8,0.36,0.29,"2,14,63,818"
2018-02-07T18:30:00.000Z,292.9,303.3,292.55,301.4,2.94,2.86,"1,89,32,796"
2018-02-08T18:30:00.000Z,297,300.6,295,296.4,-1.66,-1.73,"1,57,50,824"
2018-02-11T18:30:00.000Z,288.25,292.4,285.15,288.75,-2.58,-2.65,"5,08,39,665"
2018-02-13T18:30:00.000Z,288.7,288.7,275,276.2,-4.35,-4.42,"4,56,41,149"
2018-02-14T18:30:00.000Z,274.8,282.3,274.25,278.7,0.91,0.83,"2,60,58,237"
2018-02-15T18:30:00.000Z,280.5,281.2,270.05,271.65,-2.53,-2.6,"3,03,38,112"
2018-02-18T18:30:00.000Z,271.5,272,256.65,268.5,-1.16,-1.23,"4,38,47,791"
2018-02-19T18:30:00.000Z,269,274.2,264.8,269.65,0.43,0.36,"3,34,58,021"
2018-02-20T18:30:00.000Z,272.2,274.1,267.4,273.3,1.35,1.28,"2,37,14,454"
2018-02-21T18:30:00.000Z,270.4,273.6,269.45,272.6,-0.26,-0.33,"2,55,84,062"
2018-02-22T18:30:00.000Z,273.45,277.2,272.5,276.05,1.27,1.19,"1,54,82,147"
2018-02-25T18:30:00.000Z,280,280,273.85,274.45,-0.58,-0.65,"1,53,06,032"
2018-02-26T18:30:00.000Z,273,275.9,265.95,267.6,-2.5,-2.57,"2,08,24,909"
2018-02-27T18:30:00.000Z,264.25,269.7,260.8,268,0.15,0.08,"2,68,10,799"
2018-02-28T18:30:00.000Z,266.3,270,261.25,262.15,-2.18,-2.26,"2,28,59,175"
2018-03-04T18:30:00.000Z,260.45,265,258.75,263.5,0.51,0.44,"1,84,84,565"
2018-03-05T18:30:00.000Z,265.85,266,255,256.55,-2.64,-2.71,"2,07,78,164"
2018-03-06T18:30:00.000Z,255.05,255.35,246.05,246.65,-3.86,-3.93,"3,12,62,500"
2018-03-07T18:30:00.000Z,247,257.95,244.3,256.8,4.12,4.04,"3,31,33,336"
2018-03-08T18:30:00.000Z,257,257.4,251.65,253.25,-1.38,-1.45,"2,15,36,191"
2018-03-11T18:30:00.000Z,254.1,255.25,247.25,252.85,-0.16,-0.23,"2,53,32,474"
2018-03-12T18:30:00.000Z,251.3,262.4,249.6,254.7,0.73,0.66,"3,76,47,221"
2018-03-13T18:30:00.000Z,252.5,257.85,250,257.05,0.92,0.85,"2,54,71,485"
2018-03-14T18:30:00.000Z,257,258.8,252.55,253.7,-1.3,-1.38,"1,83,39,890"
2018-03-15T18:30:00.000Z,250.65,255.7,250.1,252.3,-0.55,-0.62,"2,57,28,297"
2018-03-18T18:30:00.000Z,252.9,253.6,246.1,247.95,-1.72,-1.8,"1,81,67,594"
2018-03-19T18:30:00.000Z,246.85,252.25,245.35,249.1,0.46,0.39,"2,05,56,571"
2018-03-20T18:30:00.000Z,251.75,254.3,247.1,248,-0.44,-0.51,"1,95,33,972"
2018-03-21T18:30:00.000Z,247,247.35,240.65,241.55,-2.6,-2.67,"2,68,28,240"
2018-03-22T18:30:00.000Z,237.8,239.65,232.35,234.8,-2.79,-2.87,"2,71,50,262"
2018-03-25T18:30:00.000Z,234.75,247.85,234.25,246.5,4.98,4.91,"3,03,73,940"
2018-03-26T18:30:00.000Z,250,255.5,248,254.35,3.18,3.11,"3,12,05,051"
2018-03-27T18:30:00.000Z,252,256.2,248.7,249.9,-1.75,-1.82,"3,66,73,566"
