Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2018-01-01T18:30:00.000Z,428.85,440.85,422,439.3,3.5,3.46,"1,53,31,261"
2018-01-02T18:30:00.000Z,440.4,441.4,431.95,433.9,-1.23,-1.27,"97,94,953"
2018-01-03T18:30:00.000Z,430,433.3,425.75,429.95,-0.91,-0.95,"83,95,377"
2018-01-04T18:30:00.000Z,431.25,436.35,429.8,431.6,0.38,0.34,"70,21,611"
2018-01-07T18:30:00.000Z,432,436.2,431.65,433.55,0.45,0.41,"46,35,214"
2018-01-08T18:30:00.000Z,434.25,443.5,433,437.55,0.92,0.88,"1,26,29,045"
2018-01-09T18:30:00.000Z,438,439.3,431.3,433.3,-0.97,-1.01,"47,02,579"
2018-01-10T18:30:00.000Z,433.5,437.6,432.9,434.75,0.33,0.29,"45,65,005"
2018-01-11T18:30:00.000Z,437,441.45,432.1,437.1,0.54,0.5,"74,08,870"
2018-01-14T18:30:00.000Z,438.05,440.05,431.05,432.35,-1.09,-1.13,"40,42,775"
2018-01-15T18:30:00.000Z,433,435.2,419.5,421.9,-2.42,-2.46,"56,23,745"
2018-01-16T18:30:00.000Z,422.05,424.5,410.1,422.95,0.25,0.21,"1,02,04,447"
2018-01-17T18:30:00.000Z,424,428.3,414.45,418.95,-0.95,-0.99,"95,79,830"
2018-01-18T18:30:00.000Z,415.2,421.95,415.05,418.05,-0.21,-0.26,"38,94,062"
2018-01-21T18:30:00.000Z,419.05,424.4,418.45,421.9,0.92,0.88,"46,43,782"
2018-01-22T18:30:00.000Z,422.8,422.8,414.75,418,-0.92,-0.96,"61,85,011"
2018-01-23T18:30:00.000Z,416,416.25,402.65,403.6,-3.44,-3.49,"1,07,89,570"
2018-01-24T18:30:00.000Z,403.45,407.65,398,400.3,-0.82,-0.86,"1,63,12,167"
2018-01-28T18:30:00.000Z,402.5,405.9,398.1,399.25,-0.26,-0.3,"57,89,602"
2018-01-29T18:30:00.000Z,400,402.3,395,395.85,-0.85,-0.89,"69,63,005"
2018-01-30T18:30:00.000Z,395.5,400.95,395.25,399.5,0.92,0.88,"51,11,454"
2018-01-31T18:30:00.000Z,399.9,403.8,390.55,393.65,-1.46,-1.5,"72,59,426"
2018-02-01T18:30:00.000Z,392,397.4,381.3,383.75,-2.51,-2.56,"1,00,70,356"
2018-02-04T18:30:00.000Z,381,398,380,395.8,3.14,3.1,"98,76,017"
2018-02-05T18:30:00.000Z,363,379.85,356.5,375.45,-5.14,-5.18,"2,52,94,860"
2018-02-06T18:30:00.000Z,380.4,385.4,375.2,377.8,0.63,0.59,"1,27,06,795"
2018-02-07T18:30:00.000Z,379.9,380,372.2,374.85,-0.78,-0.82,"1,24,52,396"
2018-02-08T18:30:00.000Z,369.9,373.2,368,368.75,-1.63,-1.67,"88,16,777"
2018-02-11T18:30:00.000Z,373.4,376.2,370.2,371.8,0.83,0.79,"60,02,369"
2018-02-13T18:30:00.000Z,372.9,382.3,370.6,376.85,1.36,1.32,"96,23,436"
2018-02-14T18:30:00.000Z,379.8,382.2,373.1,375.8,-0.28,-0.32,"1,02,25,880"
2018-02-15T18:30:00.000Z,378,379.4,367.6,370.75,-1.34,-1.38,"85,45,282"
2018-02-18T18:30:00.000Z,373.7,374.7,362.8,368.75,-0.54,-0.58,"56,58,765"
2018-02-19T18:30:00.000Z,370.35,370.9,366.5,369.3,0.15,0.11,"39,72,114"
2018-02-20T18:30:00.000Z,372.5,372.5,362.85,364.45,-1.31,-1.35,"86,40,166"
2018-02-21T18:30:00.000Z,363,363,357.5,358.5,-1.63,-1.67,"1,08,70,704"
2018-02-22T18:30:00.000Z,360.1,364.6,358.75,360.2,0.47,0.43,"67,51,064"
2018-02-25T18:30:00.000Z,362,373.5,362,372.05,3.29,3.25,"1,05,76,794"
2018-02-26T18:30:00.000Z,375,376.6,370.35,372.55,0.13,0.09,"61,56,672"
2018-02-27T18:30:00.000Z,370,373.65,367.15,369.9,-0.71,-0.75,"80,09,429"
2018-02-28T18:30:00.000Z,369.75,376.3,369.05,370.75,0.23,0.19,"69,91,806"
2018-03-04T18:30:00.000Z,368.75,368.75,350.1,352.05,-5.04,-5.08,"1,46,65,325"
