Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2018-01-01T18:30:00.000Z,72.4,73.13,71.53,72.93,0.98,0.88,"2,46,72,940"
2018-01-02T18:30:00.000Z,73.2,73.75,73.13,73.5,0.78,0.68,"2,63,47,790"
2018-01-03T18:30:00.000Z,73.65,76.35,73.2,76.03,3.44,3.34,"8,08,29,860"
2018-01-04T18:30:00.000Z,76.4,77.69,76.25,77.07,1.37,1.27,"7,13,62,030"
2018-01-07T18:30:00.000Z,77.78,77.78,76.5,76.88,-0.25,-0.35,"2,58,43,350"
2018-01-08T18:30:00.000Z,77,78.08,76.7,77.23,0.46,0.35,"3,19,77,870"
2018-01-09T18:30:00.000Z,77.13,77.7,76.29,77.28,0.06,-0.04,"2,99,08,820"
2018-01-10T18:30:00.000Z,77.28,77.79,76.83,77.1,-0.23,-0.33,"1,93,49,370"
2018-01-11T18:30:00.000Z,77.12,77.68,76,77.03,-0.09,-0.19,"2,16,99,400"
2018-01-14T18:30:00.000Z,77.2,79.3,77.1,78.35,1.71,1.61,"4,17,16,630"
2018-01-15T18:30:00.000Z,78.28,78.28,76.01,76.58,-2.26,-2.36,"2,79,13,280"
2018-01-16T18:30:00.000Z,76.8,77.8,75.7,77.4,1.07,0.97,"2,98,81,700"
2018-01-17T18:30:00.000Z,77.5,77.99,74.62,75.18,-2.87,-2.97,"4,61,68,140"
2018-01-18T18:30:00.000Z,75.25,76.2,74.25,75.3,0.16,0.06,"3,21,79,720"
2018-01-21T18:30:00.000Z,75.2,75.64,74.74,75.22,-0.11,-0.21,"3,60,57,270"
2018-01-22T18:30:00.000Z,75.2,78.71,75.2,77.97,3.66,3.56,"8,03,68,410"
2018-01-23T18:30:00.000Z,78.05,78.06,75.72,76.21,-2.26,-2.36,"4,93,51,290"
2018-01-24T18:30:00.000Z,76.5,77.31,75.83,76.92,0.93,0.83,"8,39,76,810"
2018-01-28T18:30:00.000Z,77.1,79.18,77.02,78.32,1.82,1.72,"6,50,80,120"
2018-01-29T18:30:00.000Z,78.06,78.39,77.13,77.58,-0.94,-1.05,"6,01,93,740"
2018-01-30T18:30:00.000Z,73.55,74.79,70.17,70.5,-9.13,-9.23,"12,95,89,020"
2018-01-31T18:30:00.000Z,70.8,71.28,68.16,69.68,-1.16,-1.26,"7,40,39,310"
2018-02-01T18:30:00.000Z,69.2,69.3,66.61,67.05,-3.77,-3.87,"6,50,09,260"
2018-02-04T18:30:00.000Z,66.1,67.45,65.05,66.4,-0.97,-1.07,"4,69,87,220"
2018-02-05T18:30:00.000Z,64.1,67.9,63.26,66.45,0.08,-0.03,"6,70,45,570"
2018-02-06T18:30:00.000Z,66.8,68.22,65.7,66.18,-0.41,-0.51,"6,78,95,210"
2018-02-07T18:30:00.000Z,66,67.7,65.4,67.15,1.47,1.37,"5,84,55,900"
2018-02-08T18:30:00.000Z,66.37,69,66.02,68.53,2.06,1.95,"9,14,02,880"
2018-02-11T18:30:00.000Z,71.6,71.69,69.74,71.31,4.06,3.96,"12,03,63,070"
2018-02-13T18:30:00.000Z,71.93,72.05,70.46,70.8,-0.72,-0.82,"4,88,59,510"
2018-02-14T18:30:00.000Z,71.14,71.92,69.72,70.06,-1.05,-1.15,"5,13,12,450"
2018-02-15T18:30:00.000Z,70.8,70.95,68.36,68.97,-1.56,-1.66,"5,01,27,600"
2018-02-18T18:30:00.000Z,69.34,69.34,63.9,64.89,-5.92,-6.02,"17,65,87,080"
2018-02-19T18:30:00.000Z,65.48,66.15,64.82,65.13,0.37,0.27,"10,21,44,780"
2018-02-20T18:30:00.000Z,65.49,65.56,63.3,64.1,-1.58,-1.68,"10,30,75,390"
2018-02-21T18:30:00.000Z,64.03,64.78,63.28,63.76,-0.53,-0.63,"8,95,06,310"
2018-02-22T18:30:00.000Z,64.08,68.64,63.9,67.78,6.3,6.2,"21,86,62,140"
2018-02-25T18:30:00.000Z,68,69.27,67.32,68.02,0.35,0.25,"9,19,97,750"
2018-02-26T18:30:00.000Z,68.14,68.69,66.92,67.18,-1.23,-1.34,"6,80,53,760"
2018-02-27T18:30:00.000Z,66.39,67.5,66,67.16,-0.03,-0.13,"7,11,26,500"
2018-02-28T18:30:00.000Z,67.14,68.5,67,67.5,0.51,0.41,"7,12,83,990"
2018-03-04T18:30:00.000Z,66.93,66.93,65.18,65.59,-2.83,-2.93,"9,78,54,660"
2018-03-05T18:30:00.000Z,66.49,67.4,65.65,65.97,0.58,0.48,"8,41,49,600"
2018-03-06T18:30:00.000Z,65.7,66.14,64.47,64.77,-1.82,-1.92,"5,13,05,770"
2018-03-07T18:30:00.000Z,65.69,66.1,63.27,63.59,-1.82,-1.92,"7,12,61,050"
2018-03-08T18:30:00.000Z,64,64.68,60.15,60.67,-4.59,-4.69,"18,09,63,670"
2018-03-11T18:30:00.000Z,61.45,62.64,60.64,62.29,2.67,2.57,"12,19,35,810"
2018-03-12T18:30:00.000Z,62.3,63.32,61.43,62.88,0.95,0.85,"10,49,04,050"
2018-03-13T18:30:00.000Z,62.4,63.09,61.86,62.06,-1.3,-1.4,"8,65,51,810"
2018-03-14T18:30:00.000Z,62,62.26,60.96,61.17,-1.43,-1.53,"7,51,09,510"
2018-03-15T18:30:00.000Z,61.17,61.39,59.44,60.02,-1.88,-1.98,"11,73,95,820"
2018-03-18T18:30:00.000Z,60,60.19,57.28,57.5,-4.2,-4.3,"12,54,23,170"
2018-03-19T18:30:00.000Z,57.1,60.09,56.85,59.3,3.13,3.03,"17,64,50,350"
2018-03-20T18:30:00.000Z,59.9,60.17,58.05,58.23,-1.8,-1.9,"11,93,94,510"
2018-03-21T18:30:00.000Z,58.27,58.75,57.2,58.09,-0.24,-0.34,"11,48,62,450"
2018-03-22T18:30:00.000Z,56.01,56.88,55.35,56.65,-2.48,-2.58,"14,13,35,500"
2018-03-25T18:30:00.000Z,56.89,58.83,56.08,58.15,2.65,2.55,"10,92,99,980"
2018-03-26T18:30:00.000Z,59.05,59.9,58.76,59,1.46,1.36,"10,03,81,680"
2018-03-27T18:30:00.000Z,58.1,58.3,56.53,57.1,-3.22,-3.32,"18,65,50,570"
2018-04-01T18:30:00.000Z,57.31,58.03,56.81,57.88,1.37,1.27,"6,88,93,450"
2018-04-02T18:30:00.000Z,57.02,58.55,56.83,57.97,0.16,0.06,"10,50,83,170"
2018-04-03T18:30:00.000Z,58.31,59.05,55.76,56.06,-3.29,-3.4,"13,90,98,930"
2018-04-04T18:30:00.000Z,57.38,58.36,56.95,58.05,3.55,3.45,"13,26,21,680"
2018-04-05T18:30:00.000Z,57.48,58.99,57.3,58.72,1.15,1.05,"8,52,02,010"
2018-04-08T18:30:00.000Z,58.95,59.58,58.34,58.62,-0.17,-0.27,"9,48,92,210"
2018-04-09T18:30:00.000Z,59.3,60.46,59.23,60.19,2.68,2.58,"10,85,07,100"
2018-04-10T18:30:00.000Z,60.8,61.09,60.03,60.81,1.03,0.93,"8,72,47,160"
2018-04-11T18:30:00.000Z,60.69,60.88,59.67,59.84,-1.6,-1.7,"6,62,84,990"
2018-04-12T18:30:00.000Z,60,60.47,59.04,59.4,-0.74,-0.84,"6,71,61,460"
2018-04-15T18:30:00.000Z,59.1,59.68,58.52,59.16,-0.4,-0.5,"5,14,58,130"
2018-04-16T18:30:00.000Z,59.5,60.46,59.2,59.6,0.74,0.64,"6,40,03,780"
2018-04-17T18:30:00.000Z,60.1,60.49,59.46,60.16,0.94,0.84,"4,25,91,350"
2018-04-18T18:30:00.000Z,60.6,62.45,60.6,62.2,3.39,3.29,"10,81,70,080"
2018-04-19T18:30:00.000Z,61.9,61.9,60.26,60.62,-2.54,-2.64,"6,34,62,740"
2018-04-22T18:30:00.000Z,60.83,61.1,60.01,60.66,0.07,-0.03,"4,59,11,610"
2018-04-23T18:30:00.000Z,59.45,60.18,58.94,59.76,-1.48,-1.58,"5,95,30,460"
2018-04-24T18:30:00.000Z,59.8,59.85,58.43,58.62,-1.91,-2.01,"4,12,24,430"
2018-04-25T18:30:00.000Z,58.8,59.15,57.67,57.82,-1.36,-1.47,"7,46,30,620"
2018-04-26T18:30:00.000Z,58.3,59.48,58.13,58.98,2.01,1.91,"4,71,74,050"
2018-04-29T18:30:00.000Z,59.17,59.99,58.6,59.5,0.88,0.78,"3,65,87,540"
2018-05-01T18:30:00.000Z,59.71,59.74,57.3,57.45,-3.45,-3.55,"4,24,10,680"
2018-05-02T18:30:00.000Z,57.4,58.74,56.81,58.55,1.91,1.81,"6,77,89,040"
2018-05-03T18:30:00.000Z,58.67,58.98,57.92,58.08,-0.8,-0.9,"3,88,16,320"
2018-05-06T18:30:00.000Z,58.6,59.8,58.1,59.65,2.7,2.6,"4,55,35,090"
2018-05-07T18:30:00.000Z,60,60.42,59.05,59.63,-0.03,-0.13,"4,12,59,580"
2018-05-08T18:30:00.000Z,59.34,60.88,59.26,60.32,1.16,1.06,"6,23,82,110"
2018-05-09T18:30:00.000Z,60.39,60.68,59.12,59.42,-1.49,-1.59,"4,00,12,690"
2018-05-10T18:30:00.000Z,59.7,61.06,59.12,60.73,2.2,2.1,"6,15,55,370"
2018-05-13T18:30:00.000Z,60.82,61.5,60.23,61.03,0.49,0.39,"5,17,31,390"
2018-05-14T18:30:00.000Z,60.9,63.68,60.55,62.6,2.57,2.47,"12,81,84,360"
2018-05-15T18:30:00.000Z,62.6,63.25,61.7,62.13,-0.75,-0.85,"8,42,63,010"
2018-05-16T18:30:00.000Z,63,63.08,60.22,61.03,-1.77,-1.87,"16,03,73,410"
