Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2018-01-01T18:30:00.000Z,328,328.8,318.7,327.75,0.71,0.64,"67,21,641"
2018-01-02T18:30:00.000Z,330.35,335.25,329.05,332.5,1.45,1.38,"81,71,980"
2018-01-03T18:30:00.000Z,335.2,341.5,330.05,339.1,1.98,1.91,"88,79,360"
2018-01-04T18:30:00.000Z,340.5,346.3,338.1,339.55,0.13,0.06,"96,93,755"
2018-01-07T18:30:00.000Z,339.9,341.7,335.65,340.25,0.21,0.13,"50,23,286"
2018-01-08T18:30:00.000Z,342.25,342.85,334.55,337.7,-0.75,-0.82,"66,77,065"
2018-01-09T18:30:00.000Z,339.85,343.5,333,334.8,-0.86,-0.93,"77,13,328"
2018-01-10T18:30:00.000Z,335,336.3,331.35,333.9,-0.27,-0.34,"41,28,265"
2018-01-11T18:30:00.000Z,337,341.45,335.2,339.55,1.69,1.62,"81,44,499"
2018-01-14T18:30:00.000Z,342,344,337.7,339.2,-0.1,-0.17,"50,84,069"
2018-01-15T18:30:00.000Z,339.8,340.75,325.05,330.15,-2.67,-2.74,"81,17,693"
2018-01-16T18:30:00.000Z,329.9,336.25,322.05,334.9,1.44,1.37,"99,47,827"
2018-01-17T18:30:00.000Z,335.9,336,323,326.7,-2.45,-2.52,"1,39,16,937"
2018-01-18T18:30:00.000Z,326.5,333.7,323.1,331.65,1.52,1.44,"76,50,044"
2018-01-21T18:30:00.000Z,332.5,332.7,324.5,326.95,-1.42,-1.49,"75,08,442"
2018-01-22T18:30:00.000Z,328.1,349.95,328.1,343.5,5.06,4.99,"1,82,22,487"
2018-01-23T18:30:00.000Z,343.4,347.4,337.6,340,-1.02,-1.09,"1,10,24,875"
2018-01-24T18:30:00.000Z,338.9,352.05,338.8,345.6,1.65,1.58,"1,36,05,990"
2018-01-28T18:30:00.000Z,348.35,355.7,342.45,345,-0.17,-0.24,"1,32,15,637"
2018-01-29T18:30:00.000Z,344.9,344.9,337.1,341.3,-1.07,-1.14,"73,82,593"
2018-01-30T18:30:00.000Z,342,346.45,335.25,340.35,-0.28,-0.35,"82,87,707"
2018-01-31T18:30:00.000Z,340,346.2,329.8,341.45,0.32,0.25,"1,53,44,365"
2018-02-01T18:30:00.000Z,337.4,345.95,331.3,334.3,-2.09,-2.17,"1,18,79,455"
2018-02-04T18:30:00.000Z,325,332.9,313.5,328.85,-1.63,-1.7,"1,23,60,798"
2018-02-05T18:30:00.000Z,311.1,328.85,309.7,321.65,-2.19,-2.26,"1,20,08,404"
2018-02-06T18:30:00.000Z,326.5,331,312.6,315.7,-1.85,-1.92,"1,67,98,249"
2018-02-07T18:30:00.000Z,312.5,318.6,305.15,314.45,-0.4,-0.47,"1,66,04,938"
2018-02-08T18:30:00.000Z,307.05,321,306.1,316.3,0.59,0.52,"95,15,144"
2018-02-11T18:30:00.000Z,319.95,319.95,312.6,315.55,-0.24,-0.31,"90,97,394"
2018-02-13T18:30:00.000Z,320.25,323.4,311.9,315.75,0.06,-0.01,"71,54,264"
2018-02-14T18:30:00.000Z,320.1,328.35,320.05,324.4,2.74,2.67,"1,15,59,723"
2018-02-15T18:30:00.000Z,329.9,329.9,316,319.75,-1.43,-1.5,"91,16,738"
2018-02-18T18:30:00.000Z,321.1,324.5,314.1,320.35,0.19,0.12,"86,42,478"
2018-02-19T18:30:00.000Z,321,331,320,328.7,2.61,2.54,"1,13,95,413"
2018-02-20T18:30:00.000Z,330,331,320.9,327.6,-0.33,-0.41,"1,22,81,795"
2018-02-21T18:30:00.000Z,325.3,330.55,322,328.65,0.32,0.25,"1,72,54,470"
2018-02-22T18:30:00.000Z,330.05,340.75,327.15,337.9,2.81,2.74,"1,12,70,987"
2018-02-25T18:30:00.000Z,339.4,345,339,343.15,1.55,1.48,"88,42,289"
2018-02-26T18:30:00.000Z,343.5,344.85,338,340.6,-0.74,-0.81,"46,97,935"
2018-02-27T18:30:00.000Z,338.7,338.7,327,329.75,-3.19,-3.26,"1,05,66,570"
